dataset_name,target_name,target_name_hlsp
P1150606000,AV321,AV-321
B0900301000,Sk-7079,SK-70D79
A0490101000,Sk-66.18,SK-66D18
A0491201000,Sk-71.50,SK-71D50
P2030401000,NGC346-4,NGC346-MPG-342
F9070302000,OGLE005100.18-725303.9,AV-85
P1172303000,SK-66D100,SK-66D100
E5113401000,SK-67D118,SK-67D118
P1171901000,SK-67D167,SK-67D167
C1510107000,HD36521,HD36521
D0981001000,Sk-70D13,SK-70D13
E5110701000,AV267,AV-267
B0860701000,SK-68D155,SK-68D155
B0900201000,Sk-67266,SK-67D266
P1174601000,HDE269927,HD-269927C
B1280601000,HD268809,SK-69D43
Z9121201000,SK-67D216,SK-67D216
P1173403000,SK-67D101,SK-67D101
P1172601000,SK-70D115,SK-70D115
B1280101000,HD268732,SK-66D35
P1174102000,SK-68D41,SK-68D41
D0980601000,Sk-71D46,SK-71D46
D1620201000,SK191,SK-191
P1150303000,AV69,AV-69
P1171603000,HD269810,SK-67D211
D1620501000,AV216,AV-216
B1340202000,NGC346-12,NGC346-ELS-026
P1173901000,SK-68D135,SK-68D135
B0270101000,HD269445,SK-68D73
A0491401000,Sk-71.08,SK-71D8
D1750101000,SMC-X-1,AV-490
P2170401000,AV220,AV-220
E5112501000,SK-70D32,SK-70D32
D0981701000,Mk42,BAT99-105
F3210102000,H53-47,MOA-J010321.3-720538
P1176901000,AV242,AV-242
A1110201000,Sk-67.107,SK-67D107
P1171703000,SK-67D69,SK-67D69
P1176501000,AV372,AV-372
P1175301000,AV14,AV-14
E5111401000,SK190,SK-190
P1176301000,AV469,AV-469
P1174801000,HDE269687,SK-69D175
P1175802000,AV243,AV-243
C0020601000,BI253,VFTS-72
P1176001000,AV26,AV-26
P1031802000,SK-69D246,SK-69D246
C1600201000,AV374,AV-374
P1172001000,SK-70D60,SK-70D60
P1174301000,SK-69D52,SK-69D52
B0860801000,SK-69D279,SK-69D279
B0100101000,PGMW-3053,N11-ELS-018
E5113302000,SK-67D108,SK-67D108
P2170801000,AV81,AV-81
P1030301000,SK82,AV-235
A1180101000,AZV18,AV-18
A0440102000,4U0532-664,LMCX-4
A1180202000,AZV70,AV-70
A1230279000,SK188,SK-188
C1600901000,SK-67D78,SK-67D78
P1030201000,SK80,AV-232
E5110901000,AV440,AV-440
B0860101000,SK-67D2,SK-67D2
E5110201000,AV61,AV-61
Z9121301000,SK-65D2,SK-65D2
A1330141000,SK-67D166,SK-67D166
C1600501000,AV362,AV-362
E5113001000,SK-71D19,SK-71D19
E5111901000,BI13,BI-13
P1174201000,SK-67D14,SK-67D14
D0980501000,Sk-71D41,SK-71D41
P1031503000,SK-71D45,SK-71D45
E5110101000,AV16,AV-16
E5112201000,Sk-68D16,SK-68D16
D0300302000,LH103102,PGMW-3120
E5111001000,AV446,AV-446
P1172401000,SK-69D104,SK-69D104
C1580201000,AV304,AV-304
D1380301000,NGC2004-B15,NGC2004-ELS-026
B0900701000,Sk101,AV-287
C1600301000,AV472,AV-472
P1031302000,SK-67D104,SK-67D104
P2150202000,HD38029,HD-38029
D1620401000,AV215,AV-215
Z9122401000,AV506,AV-506
G9270601000,Brey26,SK-71D21
P1172201000,SK-66D172,SK-66D172
B0100701000,PGMW-3223,N11-ELS-013
E5110601000,AV261,AV-261
C1600101000,AV96,AV-96
C1600401000,AV187,AV-187
P1177001000,AV264,AV-264
P2030301000,NGC346-3,NGC346-MPG-355
C0020701000,Sk-6547,SK-65D47
G9270501000,Brey24,SK-65D55
D1380101000,NGC346-11,NGC346-ELS-043
B0100501000,PGMW-3168,N11-ELS-032
P1175101000,HD37680,SK-69D191
P2170501000,AV461,AV461
P2030502000,NGC346-6,NGC346-ELS-007
P1030401000,SK108,AV-332
P1176601000,AV238,AV-238
P1150101000,AV15,AV-15
B0860501000,SK-68D129,SK-68D129
C1030301000,MACHO79-4779,HV-5622
B0100201000,PGMW-3070,PGMW-3070
C0020301000,AV476,AV-476
E5111701000,AV80,AV-80
P1173101000,SK-67D191,SK-67D191
C1600801000,SK-70D50,SK-70D50
Z9122301000,AV266,AV-266
P2170301000,BI184,BI-184
P1174901000,HD32402,SK-68D15
B1340401000,AV393,AV-393
C0020102000,AV177,AV-177
P2030201000,NGC346-1,AV-232
E5113103000,SK-71D26,SK-71D26
P1176701000,AV423,AV-423
D1620101000,AV104,AV-104
E0540101000,AV95,AV-95
A1110101000,Sk-67.106,SK-67D106
E5114001000,BI237,BI-237
E5114102000,Sk-66D171,SK-66D171
B0860901000,SK-67D168,SK-67D168
G0390301000,SMC-WR2,AV-39A
E9570101000,SK-66D97,SK-66D97
E5112001000,SK-69D50,SK-69D50
G0390501000,SMC-WR9,2DFS-999
B0860601000,SK-68D140,SK-68D140
P1174401000,HD32109,SK-67D20
P1031002000,SK-65D22,SK-65D22
B1340101000,AV377,AV-377
P1172101000,SK-70D69,SK-70D69
P1175401000,AV388,AV-388
P2210101000,AV6,AV-6
Z9122001000,AV175,AV-175
E5114201000,SK-68D137,SK-68D137
P1174001000,SK-68D52,SK-68D52
P1030501000,SK159,AV-488
P1176401000,AV327,AV-327
D0981101000,LH114-7,LH-114-7
P1030703000,SK-67D05,SK-67D5
P1174501000,HD33133,SK-66D51
P1173202000,BI173,BI-173
P1150202000,AV47,AV-47
P1175901000,AV207,AV-207
E5111601000,AV435,AV-435
P2210201000,AV456,AV-456
P1176201000,AV83,AV-83
C0020401000,Sk-6722,SK-67D22
B0890201000,Sk155,AV-479
P2230101000,HD5980,HD-5980
B0860201000,SK-68D26,SK-68D26
P1150404000,AV75,AV-75
P1172902000,BI272,BI-272
P2170701000,AV170,AV-170
D1530105000,SK-67D105,SK-67D105
D1620601000,AV210,AV-210
P1173001000,SK-67D111,SK-67D111
P1175001000,HD37026,HD37026
Z9050601000,SK-71_38,SK-71D38
X0180103000,SAND_2,SK-68D145
D0880116000,BREY22,SK-69D106