targets,RA,DEC,AR_targets,SpT,E(B-V),U,archival exptime,flux1150,flux1200,flux1520,Settings,ETC_FUV_file,ETC_NUV_file
Sk -68 143|[M2002] 172922,5h39m15.12s,-68d12m01.7s,,B7 I,0.02,12.37,,nan,nan,nan,,Model,Model
Sk -67 234|[M2002] 173168,5h39m21.34s,-67d06m53.5s,,B8 I,0,12.22,,nan,nan,nan,,Model,Model
Sk -68 144|[M2002] 173571,5h39m33.86s,-68d39m01.7s,,B8 I,0.05,12.86,,nan,nan,nan,,Model,Model
BI 267|[M2002] 176538,5h41m37.57s,-68d32m33.2s,,B0 III,0.17,13.1,,nan,nan,nan,,Model,Model
Sk -69 278|[M2002] 176621,5h41m40.76s,-69d22m05.1s,,B5 I,0.15,12.15,,nan,nan,nan,,Model,Model
Sk -69 286|[M2002] 177990,5h42m35.22s,-69d16m47.8s,91341,B4 I,0.19,12.32,2770,nan,nan,nan,,Model,Model
Sk -69 245|[M2002] 171780,5h38m47.6s,-69d00m25.1s,137590|137590|137590|137590|HD 269926|HD 269926,WN5+B,nan,11.95,53243| 7365|22099|18336| 2398| 2160,nan,2.05E-13,4.10E-13,SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_171780.0/swp04140/swp04140.mxlo.gz|downloaded/LMC/IUE/[M2002]_171780.0/swp04140/swp04140mxlo_vo.fits,Model
Sk -69 251|[M2002] 172745,5h39m11.41s,-69d02m01.2s,170852|170852|170852|170852,WN5(h),nan,12.32,53243| 7365|22099|18336,nan,nan,nan,,Model,Model
Sk -68 145|[M2002] 173582,5h39m34.36s,-68d44m09.2s,Sand_2|FD 73|FD 73|BAT99-123|BAT99-123|BAT99-123,WO3,nan,14.38,46507|14398| 9597| 4501| 4500| 4501,2.61E-14,1.24E-14,1.99E-14,FUSE/1045|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_173582.0/swp07580/swp07580.mxlo.gz|downloaded/LMC/IUE/[M2002]_173582.0/swp07580/swp07580mxlo_vo.fits,Model
Sk -69 255|[M2002] 174085,5h39m56.21s,-69d24m24.1s,HD38448|HD 38448|HD 38448,WC5+O7,nan,12.07,56639| 1918| 1680,0,0,0,SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_174085.0/swp04187/swp04187.mxlo.gz|downloaded/LMC/IUE/[M2002]_174085.0/swp04187/swp04187mxlo_vo.fits,Model
Sk -69 258|[M2002] 174323,5h40m07.66s,-69d24m31.8s,,WN3+O7,nan,12.04,,nan,nan,nan,,Model,Model
Sk -69 266|[M2002] 175356,5h40m50.91s,-69d26m31.8s,,WN4b,nan,nan,,nan,nan,nan,,Model,Model
Sk -69 295|[M2002] 179557,5h43m59.19s,-69d30m58.4s,,B3: I,-0.03,12.52,,nan,nan,nan,,Model,Model
BAT99-2|[M2002] 5735,4h49m36.29s,-69d20m55.4s,AB 14|BR2 NEBULA,WN1,nan,15.55,14398|44999,nan,1.04E-14,1.62E-14,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_5735.0/swp50434/swp50434.mxlo.gz|downloaded/LMC/IUE/[M2002]_5735.0/swp50434/swp50434mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_5735.0/lwp23832/lwp23832.mxlo.gz|downloaded/LMC/IUE/[M2002]_5735.0/lwp23832/lwp23832mxlo_vo.fits
BAT99-7|[M2002] 25077,4h55m31.35s,-67d30m03.4s,HD 32109,WN4b,nan,12.89,598,nan,4.61E-13,1.67E-13,SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_25077.0/swp38449/swp38449.mxlo.gz|downloaded/LMC/IUE/[M2002]_25077.0/swp38449/swp38449mxlo_vo.fits,Model
BAT99-8|[M2002] 27276,4h56m02.96s,-69d27m21.9s,FD 5|FD 5,WC4,nan,13.64,7199| 4199,nan,1.66E-13,1.36E-13,SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_27276.0/swp07582/swp07582.mxlo.gz|downloaded/LMC/IUE/[M2002]_27276.0/swp07582/swp07582mxlo_vo.fits,Model
BAT99-11|[M2002] 33780,4h57m24.1s,-68d23m57.5s,SK-68D15|NGC 1770-L16|HD 32402|NGC 1770-L16,WC4,nan,12.19,47047| 8398|47999| 5398,1.63E-13,6.00E-14,9.65E-14,FUSE/1045|LWP/LWP/2599|SWP/0/0|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_33780.0/swp46396/swp46396.mxlo.gz|downloaded/LMC/IUE/[M2002]_33780.0/swp46396/swp46396mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_33780.0/lwp24398/lwp24398.mxlo.gz|downloaded/LMC/IUE/[M2002]_33780.0/lwp24398/lwp24398mxlo_vo.fits
BAT99-12|[M2002] 34056,4h57m27.47s,-67d39m03.3s,Sk-6722|SK-67 22|SK-6722|SK-6722|SK-6722|SK-67 22,O3If*/WN6-A,0.1,12.21,16974|15597|  862| 1645|  639|11457,8.49E-13,4.68E-13,4.83E-13,FUSE/1045|LWP/LWP/2599|STIS/CCD/G430M/3164|STIS/CCD/G750M/6580|STIS/FUV-MAMA/G140L/1418|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_34056.0/swp10730/swp10730.mxlo.gz|downloaded/LMC/IUE/[M2002]_34056.0/swp10730/swp10730mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_34056.0/lwp25901/lwp25901.mxlo.gz|downloaded/LMC/IUE/[M2002]_34056.0/lwp25901/lwp25901mxlo_vo.fits
BAT99-15|[M2002] 45002,4h59m51.53s,-67d56m56.0s,SK-67D32|HD 268847|HD 268847,WN4b,nan,13.52,72875|10199|15742,2.89E-13,3.70E-13,1.51E-13,FUSE/1045|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_45002.0/swp09167/swp09167.mxlo.gz|downloaded/LMC/IUE/[M2002]_45002.0/swp09167/swp09167mxlo_vo.fits,Model
BAT99-17|[M2002] 62470,5h04m12.5s,-70d03m55.5s,BR14,WN4o,nan,13.42,6839,nan,2.69E-13,1.59E-13,SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_62470.0/swp33458/swp33458.mxlo.gz|downloaded/LMC/IUE/[M2002]_62470.0/swp33458/swp33458mxlo_vo.fits,Model
BAT99-18|[M2002] 65479,5h05m08.49s,-70d22m45.5s,,WN4(h),nan,13.59,,nan,nan,nan,,Model,Model
BAT99-20|[M2002] 81268,5h09m53.83s,-68d52m52.8s,,WC5+O,nan,13.08,,nan,nan,nan,,Model,Model
BAT99-24|[M2002] 95796,5h14m12.82s,-69d19m26.0s,BR19|HD 34783,WN4b,nan,13.56,2761|19198,nan,1.98E-13,1.14E-13,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_95796.0/swp07003/swp07003.mxlo.gz|downloaded/LMC/IUE/[M2002]_95796.0/swp07003/swp07003mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_95796.0/lwp13165/lwp13165.mxlo.gz|downloaded/LMC/IUE/[M2002]_95796.0/lwp13165/lwp13165mxlo_vo.fits
BAT99-26|[M2002] 104322,5h16m38.94s,-69d16m40.9s,BR 20|WS 14,WN4b,nan,13.63,21593| 6598,nan,2.14E-13,1.14E-13,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_104322.0/swp07001/swp07001.mxlo.gz|downloaded/LMC/IUE/[M2002]_104322.0/swp07001/swp07001mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_104322.0/lwp25907/lwp25907.mxlo.gz|downloaded/LMC/IUE/[M2002]_104322.0/lwp25907/lwp25907mxlo_vo.fits
BAT99-36|[M2002] 132665,5h24m24.26s,-68d31m35.8s,HD 269485|HD 269485,WN4b/WNE,nan,13.59,11398| 2402,nan,1.84E-13,9.95E-14,SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_132665.0/swp09160/swp09160.mxlo.gz|downloaded/LMC/IUE/[M2002]_132665.0/swp09160/swp09160mxlo_vo.fits,Model
BAT99-40|[M2002] 136134,5h26m36.95s,-68d51m01.3s,,WN5o+O,nan,13.58,,nan,nan,nan,,Model,Model
BAT99-41|[M2002] 136372,5h26m42.68s,-69d06m57.0s,RP877|RP877|RP877|RP877|HDE 269549|HD 269549,WN4b,nan,13.78,5403| 8103| 7968| 7487| 7558| 2398,nan,1.60E-13,1.38E-13,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_136372.0/swp38451/swp38451.mxlo.gz|downloaded/LMC/IUE/[M2002]_136372.0/swp38451/swp38451mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_136372.0/lwp20197/lwp20197.mxlo.gz|downloaded/LMC/IUE/[M2002]_136372.0/lwp20197/lwp20197mxlo_vo.fits
BAT99-44|[M2002] 139177,5h27m42.78s,-69d10m00.4s,RP844|RP844|RP844|WS 27|FD 32|WS 27,WN8h,nan,12.24,3999| 3983| 4104| 6242| 3000| 6836,nan,1.64E-13,2.36E-13,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_139177.0/swp06968/swp06968.mxlo.gz|downloaded/LMC/IUE/[M2002]_139177.0/swp06968/swp06968mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_139177.0/lwp20462/lwp20462.mxlo.gz|downloaded/LMC/IUE/[M2002]_139177.0/lwp20462/lwp20462mxlo_vo.fits
BAT99-46|[M2002] 140882,5h28m18.03s,-69d02m36.0s,BR 38|BR 38,WN4o,nan,14.44,5400| 5099,nan,2.95E-14,3.96E-14,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_140882.0/swp23385/swp23385.mxlo.gz|downloaded/LMC/IUE/[M2002]_140882.0/swp23385/swp23385mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_140882.0/lwp03700/lwp03700.mxlo.gz|downloaded/LMC/IUE/[M2002]_140882.0/lwp03700/lwp03700mxlo_vo.fits
BAT99-47|[M2002] 143463,5h29m12.47s,-68d45m36.0s,W52|W52,WN3,nan,nan,1801| 5039,nan,1.06E-12,1.38E-12,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_143463.0/swp39525/swp39525.mxlo.gz|downloaded/LMC/IUE/[M2002]_143463.0/swp39525/swp39525mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_143463.0/lwp18655/lwp18655.mxlo.gz|downloaded/LMC/IUE/[M2002]_143463.0/lwp18655/lwp18655mxlo_vo.fits
BAT99-48|[M2002] 144436,5h29m31.75s,-68d54m28.7s,BREY 40|HD 269624,WN4b,nan,13.88,6000| 7800,nan,8.76E-14,5.09E-14,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_144436.0/swp38450/swp38450.mxlo.gz|downloaded/LMC/IUE/[M2002]_144436.0/swp38450/swp38450mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_144436.0/lwp03707/lwp03707.mxlo.gz|downloaded/LMC/IUE/[M2002]_144436.0/lwp03707/lwp03707mxlo_vo.fits
BAT99-50|[M2002] 145660,5h29m53.82s,-69d01m04.8s,,WN4.5,nan,13.31,,nan,nan,nan,,Model,Model
BAT99-51|[M2002] 146131,5h30m02.54s,-68d45m18.2s,RP905|RP905|RP905|RP905|WS 30,WN3b,nan,14.09,5403| 4104| 3881| 3506| 6000,nan,3.29E-14,2.22E-15,SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_146131.0/swp04872/swp04872.mxlo.gz|downloaded/LMC/IUE/[M2002]_146131.0/swp04872/swp04872mxlo_vo.fits,Model
BAT99-52|[M2002] 146696,5h30m12.26s,-67d26m08.6s,HD37026|FD 37|FD 37,WC4,nan,12.85,22134|10562| 6960,5.87E-13,4.15E-13,2.11E-13,FUSE/1045|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_146696.0/swp04366/swp04366.mxlo.gz|downloaded/LMC/IUE/[M2002]_146696.0/swp04366/swp04366mxlo_vo.fits,Model
BAT99-54|[M2002] 150553,5h31m18.21s,-69d08m45.7s,,WN9h,nan,13.76,,nan,nan,nan,,Model,Model
BAT99-56|[M2002] 151339,5h31m32.9s,-67d40m46.6s,SK-67D161,WN4b,nan,13.51,330124,2.61E-13,nan,nan,FUSE/1045,Model,Model
BAT99-57|[M2002] 151416,5h31m34.46s,-67d16m29.3s,57906|57906|57906|57906|57906|57906|BR 45|BR 45,WN4b,nan,13.87,27620|27753|27748|27729|26138|27741|10800|11996,nan,1.74E-13,1.01E-13,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_151416.0/swp48032/swp48032.mxlo.gz|downloaded/LMC/IUE/[M2002]_151416.0/swp48032/swp48032mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_151416.0/lwp25848/lwp25848.mxlo.gz|downloaded/LMC/IUE/[M2002]_151416.0/lwp25848/lwp25848mxlo_vo.fits
BAT99-58|[M2002] 153219,5h32m07.61s,-68d26m31.4s,BR 47|BR47,WN6h,nan,14.85,21593|21600,nan,4.65E-15,3.46E-15,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_153219.0/swp48039/swp48039.mxlo.gz|downloaded/LMC/IUE/[M2002]_153219.0/swp48039/swp48039mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_153219.0/lwp25849/lwp25849.mxlo.gz|downloaded/LMC/IUE/[M2002]_153219.0/lwp25849/lwp25849mxlo_vo.fits
BAT99-59|[M2002] 156590,5h33m10.63s,-67d42m42.8s,WAVCAL  NO TFLOOD|SK-67184|WAVCAL  + TFLOOD|SK-67184,WN4o+B,nan,12.09,64| 4576|  477|11052,0,1.45E-13,2.11E-13,SWP/0/0|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_156590.0/swp07635/swp07635.mxlo.gz|downloaded/LMC/IUE/[M2002]_156590.0/swp07635/swp07635mxlo_vo.fits,Model
BAT99-63|[M2002] 161290,5h34m52.12s,-67d21m28.9s,,WN4h+abs,nan,13.39,,nan,nan,nan,,Model,Model
BAT99-65|[M2002] 162213,5h35m15.23s,-69d05m43.1s,,WN4,nan,14.95,,nan,nan,nan,,Model,Model
BAT99-66|[M2002] 162867,5h35m29.85s,-67d06m49.5s,,WN3b(h),nan,14.09,,nan,nan,nan,,Model,Model
BAT99-68|[M2002] 163386,5h35m42.02s,-69d11m54.2s,BR 58|BREY 58,WN5-6,nan,12.77,11999|10195,nan,-2.42E-14,2.73E-14,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_163386.0/swp23401/swp23401.mxlo.gz|downloaded/LMC/IUE/[M2002]_163386.0/swp23401/swp23401mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_163386.0/lwp04163/lwp04163.mxlo.gz|downloaded/LMC/IUE/[M2002]_163386.0/lwp04163/lwp04163mxlo_vo.fits
BAT99-70|[M2002] 163453,5h35m43.65s,-69d10m57.6s,HD 269818|WS 36|HD 269818,WC4,nan,12.9,7199| 3359|11401,nan,1.54E-14,4.52E-14,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_163453.0/swp39144/swp39144.mxlo.gz|downloaded/LMC/IUE/[M2002]_163453.0/swp39144/swp39144mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_163453.0/lwp18179/lwp18179.mxlo.gz|downloaded/LMC/IUE/[M2002]_163453.0/lwp18179/lwp18179mxlo_vo.fits
BAT99-71|[M2002] 163480,5h35m44.29s,-68d59m36.7s,BR60|BR 60/ SKY,WN3opec,nan,14.1,11400| 6178,nan,6.75E-15,1.65E-15,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_163480.0/swp48040/swp48040.mxlo.gz|downloaded/LMC/IUE/[M2002]_163480.0/swp48040/swp48040mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_163480.0/lwp25857/lwp25857.mxlo.gz|downloaded/LMC/IUE/[M2002]_163480.0/lwp25857/lwp25857mxlo_vo.fits
BAT99-72|[M2002] 163516,5h35m45.12s,-68d58m44.4s,,WN4,nan,14.58,,nan,nan,nan,,Model,Model
BAT99-73|[M2002] 163753,5h35m50.71s,-68d53m39.3s,,WN4.5,nan,13.53,,nan,nan,nan,,Model,Model
BAT99-74|[M2002] 163833,5h35m52.44s,-68d55m08.7s,,WN3,nan,14.56,,nan,nan,nan,,Model,Model
BAT99-75|[M2002] 163913,5h35m54.07s,-67d02m48.8s,FD 52|FD 52,WN3,nan,13.39,3000| 7800,nan,3.21E-13,1.71E-13,SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_163913.0/swp09890/swp09890.mxlo.gz|downloaded/LMC/IUE/[M2002]_163913.0/swp09890/swp09890mxlo_vo.fits,Model
BAT99-76|[M2002] 163937,5h35m54.45s,-68d59m07.6s,Brey64|BR 64|BAT99 76|BREY 64,WN9h,nan,12.46,16620| 4799|  899| 7259,1.03E-13,3.62E-14,1.11E-13,FUSE/1045|LWP/LWP/2599|SWP/0/0|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_163937.0/swp23890/swp23890.mxlo.gz|downloaded/LMC/IUE/[M2002]_163937.0/swp23890/swp23890mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_163937.0/lwp04164/lwp04164.mxlo.gz|downloaded/LMC/IUE/[M2002]_163937.0/lwp04164/lwp04164mxlo_vo.fits
BAT99-80|[M2002] 164167,5h35m59.22s,-69d11m50.5s,SK-69209|SK -69 209|SK-69 209,O4If/WN6,0.29,10.45,240|69891| 1198,0,0,0,LWP/LWP/2599|SWP/0/0|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_164167.0/swp33117/swp33117.mxlo.gz|downloaded/LMC/IUE/[M2002]_164167.0/swp33117/swp33117mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_164167.0/lwp12889/lwp12889.mxlo.gz|downloaded/LMC/IUE/[M2002]_164167.0/lwp12889/lwp12889mxlo_vo.fits
BAT99-81|[M2002] 164793,5h36m12.15s,-67d34m58.0s,MG 2|MG 2,WN5,nan,14.32,7199| 9238,nan,1.77E-14,1.43E-14,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_164793.0/swp40900/swp40900.mxlo.gz|downloaded/LMC/IUE/[M2002]_164793.0/swp40900/swp40900mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_164793.0/lwp20463/lwp20463.mxlo.gz|downloaded/LMC/IUE/[M2002]_164793.0/lwp20463/lwp20463mxlo_vo.fits
BAT99-86|[M2002] 167648,5h37m11.59s,-69d07m37.7s,237407|237407|237407|237407,WN4o,nan,16.33,15272| 7366|11051| 9166,nan,nan,nan,,Model,Model
BAT99-88|[M2002] 168698,5h37m35.75s,-69d08m40.5s,371932|371932|371932|371932,WN4,nan,17.3,22045| 4222|11051| 9165,nan,nan,nan,,Model,Model
BAT99-89|[M2002] 168930,5h37m40.6s,-69d07m57.6s,312100|312100|312100|312100|BREY 71|BR71,WN7h,nan,13.38,36831| 8106|22101|18332|17398|17760,nan,1.68E-14,5.39E-14,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_168930.0/swp48106/swp48106.mxlo.gz|downloaded/LMC/IUE/[M2002]_168930.0/swp48106/swp48106mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_168930.0/lwp03708/lwp03708.mxlo.gz|downloaded/LMC/IUE/[M2002]_168930.0/lwp03708/lwp03708mxlo_vo.fits
BAT99-90|[M2002] 169130,5h37m44.75s,-69d14m25.2s,408775|408775|408775|408775,WC4,nan,14,53243| 7365|22099|18336,nan,nan,nan,,Model,Model
BAT99-91|[M2002] 169206,5h37m46.43s,-69d09m09.1s,30DORB-3|371428|371428|371428|371428,WN7,nan,11.46,2454|14733| 7906|11051| 9166,nan,nan,nan,,Model,Model
BAT99-93|[M2002] 169429,5h37m51.45s,-69d09m46.7s,462233|462233|462233|462233|LH99#3|LH99#3,O3If/WN6,0.31,12.48,24727| 3683|11051| 9161| 2400| 5400,nan,6.75E-14,1.65E-13,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_169429.0/swp41766/swp41766.mxlo.gz|downloaded/LMC/IUE/[M2002]_169429.0/swp41766/swp41766mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_169429.0/lwp20514/lwp20514.mxlo.gz|downloaded/LMC/IUE/[M2002]_169429.0/lwp20514/lwp20514mxlo_vo.fits
BAT99-94|[M2002] 170914,5h38m27.79s,-69d29m58.4s,,WN4b,nan,14.21,,nan,nan,nan,,Model,Model
BAT99-95|[M2002] 171177,5h38m33.66s,-69d04m50.9s,12|12|12|12|BR80|NGC 2070|NGC 2070 NED01|NGC 2070,WN7h,nan,11.68,22320| 3682|11703| 9167| 5398| 8099|19799|10914,0,5.35E-14,1.79E-13,LWP/LWP/2599|SWP/0/0|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_171177.0/swp06637/swp06637.mxlo.gz|downloaded/LMC/IUE/[M2002]_171177.0/swp06637/swp06637mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_171177.0/lwp25898/lwp25898.mxlo.gz|downloaded/LMC/IUE/[M2002]_171177.0/lwp25898/lwp25898mxlo_vo.fits
BAT99-97|[M2002] 171412,5h38m38.82s,-69d06m48.7s,50|50|50|50|NEAR MELNICK|HD 038268|HD 038268|NEAR MELNCK4,O3If*/WN7-A,0.82,13.86,22045| 3683|11051| 9165| 1801|13319|11999| 7679,0,1.23E-14,8.55E-14,LWP/LWP/2599|SWP/0/0|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_171412.0/swp40132/swp40132.mxlo.gz|downloaded/LMC/IUE/[M2002]_171412.0/swp40132/swp40132mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_171412.0/lwp19239/lwp19239.mxlo.gz|downloaded/LMC/IUE/[M2002]_171412.0/lwp19239/lwp19239mxlo_vo.fits
BAT99-98|[M2002] 171429,5h38m39.07s,-69d06m21.8s,NEAR MELNICK|HD 038268|30 DOR|HD 038268|30 DOR,WN6(h),nan,11.88,1951|20519| 8916|135299|43381,0,7.17E-14,7.33E-13,LWP/LWP/2599|SWP/0/0|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_171429.0/swp11267/swp11267.mxlo.gz|downloaded/LMC/IUE/[M2002]_171429.0/swp11267/swp11267mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_171429.0/lwp19239/lwp19239.mxlo.gz|downloaded/LMC/IUE/[M2002]_171429.0/lwp19239/lwp19239mxlo_vo.fits
BAT99-117|[M2002] 171780,5h38m47.6s,-69d00m25.1s,137590|137590|137590|137590|HD 269926|HD 269926,WN5+B,nan,11.95,53243| 7365|22099|18336| 2398| 2160,nan,2.05E-13,4.10E-13,SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_171780.0/swp04140/swp04140.mxlo.gz|downloaded/LMC/IUE/[M2002]_171780.0/swp04140/swp04140mxlo_vo.fits,Model
BAT99-121|[M2002] 172447,5h39m03.82s,-69d03m46.5s,47375|47375|47375|47375,WC4,nan,nan,24727| 3683|11051| 9161,nan,nan,nan,,Model,Model
BAT99-122|[M2002] 172745,5h39m11.41s,-69d02m01.2s,170852|170852|170852|170852,WN5(h),nan,12.32,53243| 7365|22099|18336,nan,nan,nan,,Model,Model
BAT99-123|[M2002] 173582,5h39m34.36s,-68d44m09.2s,Sand_2|FD 73|FD 73|BAT99-123|BAT99-123|BAT99-123,WO3,nan,14.38,46507|14398| 9597| 4501| 4500| 4501,2.61E-14,1.24E-14,1.99E-14,FUSE/1045|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_173582.0/swp07580/swp07580.mxlo.gz|downloaded/LMC/IUE/[M2002]_173582.0/swp07580/swp07580mxlo_vo.fits,Model
BAT99-125|[M2002] 174085,5h39m56.21s,-69d24m24.1s,HD38448|HD 38448|HD 38448,WC5+O7,nan,12.07,56639| 1918| 1680,0,0,0,SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_174085.0/swp04187/swp04187.mxlo.gz|downloaded/LMC/IUE/[M2002]_174085.0/swp04187/swp04187mxlo_vo.fits,Model
BAT99-126|[M2002] 174323,5h40m07.66s,-69d24m31.8s,,WN3+O7,nan,12.04,,nan,nan,nan,,Model,Model
BAT99-127|[M2002] 174452,5h40m13.69s,-69d24m02.8s,MG 6|MG 6,WC5+O6,nan,11.72,1500| 2699,nan,1.79E-13,3.43E-13,LWP/LWP/2599|SWP/SWP/1565,downloaded/LMC/IUE/[M2002]_174452.0/swp39466/swp39466.mxlo.gz|downloaded/LMC/IUE/[M2002]_174452.0/swp39466/swp39466mxlo_vo.fits,downloaded/LMC/IUE/[M2002]_174452.0/lwp18593/lwp18593.mxlo.gz|downloaded/LMC/IUE/[M2002]_174452.0/lwp18593/lwp18593mxlo_vo.fits
BAT99-128|[M2002] 175356,5h40m50.91s,-69d26m31.8s,,WN4b,nan,nan,,nan,nan,nan,,Model,Model
Sk -69 50|[M2002] 33053,4h57m15.19s,-69d20m20.4s,SK-69D50|SK-69D50,B0.7 (IV)e,0.11,12.16,19577| 2839,7.16E-13,1.75E-13,4.62E-13,FUSE/1045|STIS/FUV-MAMA/E140M/1425,Model,Model