target_name_ullyses,target_name_simbad,target_classification,simbad_link,targ_ra,targ_dec,coordinate_epoch,source_catalog,host_galaxy_name,host_cluster_name,d_gaia,d_gaia_err,spectral_type,spectral_type_ref,temp_class,lum_class,star_teff,star_teff_ref,star_luminosity,star_luminosity_ref,star_mass,star_mass_ref,surface_gravity,surface_gravity_ref,rotation_period,rotation_period_ref,rotation_velocity,rotation_velocity_ref,terminal_velocity,terminal_velocity_ref,star_radius,star_radius_ref,rate_accretion,rate_accretion_ref,extinction_ebmv,extinction_ebmv_ref,age,age_ref,metallicity,metallicity_ref,fuv_mag,nuv_mag,u_mag,u_mag_ref,b_mag,b_mag_ref,v_mag,v_mag_ref,i_mag,i_mag_ref,gaia_id,gaia_parallax,gaia_parallax_err,known_binary,known_binary_ref,is_variable,is_monitor_targ,extended,Extra,radial_velocity,radial_velocity_ref,gaia_g_mean_mag,gaia_bp_mean_mag,gaia_rp_mean_mag
CVSO 109,CVSO 109,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=Haro+5-66,83.13610687,-1.229437464,2016,2005AJ....129..935C,MW,Ori OB1b,425.5138079,60.99978805,M0,2005AJ....129..935C,,,3850,2005AJ....129..935C,0.17,2005AJ....129..935C,0.56,2005AJ....129..935C,,,,,,,,,2.73,2005AJ....129..935C,-7.6,2005AJ....129..935C,0,2005AJ....129..935C,0.8,2005AJ....129..935C,,,,,14.5,2005AJ....129..935C,,,13.97,none,,,Gaia DR3 3217630378215871232,2.3501,0.3369,none,none,TRUE,FALSE,FALSE,FALSE,16.9,2020AJ....160..120J,13.79141426,14.18611622,12.42665958
CVSO 90,CVSO 90,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=Kiso+A-0904+1,82.83596192,-0.822183962,2016,2005AJ....129..935C,MW,Ori OB1b,343.5599684,3.895103912,K7,2005AJ....129..935C,,,4060,2005AJ....129..935C,-0.26,2005AJ....129..935C,0.79,2005AJ....129..935C,,,,,,,,,1.5,2005AJ....129..935C,-7.75,2005AJ....129..935C,0,2005AJ....129..935C,5.04,2005AJ....129..935C,,,,,14.02,2005AJ....129..935C,,,14.61,none,,,Gaia DR3 3220661529910667904,2.9107,0.033,none,none,TRUE,FALSE,FALSE,FALSE,20.7,2020AJ....160..120J,14.5280695,15.15881252,13.66796398
CVSO 146,CVSO 146,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=Haro+5-73,83.94168448,-0.964513832,2016,2005AJ....129..935C,MW,Ori OB1b,336.6890004,1.723064141,K6+K6,2005AJ....129..935C,,,4205,2005AJ....129..935C,0.12,2005AJ....129..935C,0.92,2005AJ....129..935C,,,,,,,,,2.17,2005AJ....129..935C,-8.06,2005AJ....129..935C,0.032,2005AJ....129..935C,2.01,2005AJ....129..935C,,,,,15.25,2005AJ....129..935C,,,14.01,none,,,Gaia DR3 3217657011309526016,2.9701,0.0152,TRUE,2005AJ....129..935C,TRUE,FALSE,FALSE,FALSE,17.8,2020AJ....160..120J,13.44785023,14.26192188,12.52723122
V505 ORI,V505 Ori,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V*+V505+Ori,84.61357213,-2.752699988,2016,2016ApJ...829...38M,MW,Sigma Ori,398.9786147,3.979598376,K6.0,2016ApJ...829...38M,,,4020,2016ApJ...829...38M,,,0.754,2016ApJ...829...38M,,,,,,,,,1.37,2016ApJ...829...38M,-8.54,2016ApJ...829...38M,0,2016ApJ...829...38M,6.5,2016ApJ...829...38M,,,,,,,,,14.16,none,,,Gaia DR3 3216107490187638784,2.5064,0.025,none,none,TRUE,FALSE,FALSE,FALSE,30.3,2020AJ....160..120J,14.51813602,15.39472008,13.52348518
TX Ori,TX Ori,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V*+TX+Ori,84.64037132,-2.737270497,2016,2016ApJ...829...38M,MW,Sigma Ori,404.8746913,36.55494399,K4.5,2016ApJ...829...38M,,,4330,2016ApJ...829...38M,,,1.087,2016ApJ...829...38M,,,,,,,,,2.85,2016ApJ...829...38M,-8.13,2016ApJ...829...38M,0,2016ApJ...829...38M,1.03,2016ApJ...829...38M,,,,,13.75,none,,,12.06,none,,,Gaia DR3 3216108997720732544,2.4699,0.223,none,none,TRUE,FALSE,FALSE,FALSE,31.5,2020AJ....160..120J,12.35545826,13.21104336,11.47868919
CVSO 104,CVSO 104,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=Haro+5-64,83.026605,-1.183367211,2016,2005AJ....129..935C,MW,Ori OB1b,366.3540445,3.999615522,M0+M2,2021A&A...656A.138F,,,4060,2005AJ....129..935C,-0.12,2005AJ....129..935C,0.77,2005AJ....129..935C,,,,,,,,,1.76,2005AJ....129..935C,-8.12,2005AJ....129..935C,0,2005AJ....129..935C,2.76,2005AJ....129..935C,,,,,14.93,2005AJ....129..935C,,,14.22,none,,,Gaia DR3 3217634157789741952,2.7296,0.0298,TRUE,2021A&A...656A.138F,TRUE,FALSE,FALSE,FALSE,15.5,2020AJ....160..120J,14.4547081,15.24219418,13.39810467
CVSO 36,CVSO 36B,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=CVSO+36,81.45987572,1.826958533,2016,2005AJ....129..935C,MW,Ori OB1a,340.9827122,3.081134065,M3,2005AJ....129..935C,,,3470,2005AJ....129..935C,-0.68,2005AJ....129..935C,0.34,2005AJ....129..935C,,,,,,,,,1.28,2005AJ....129..935C,-8.44,2005AJ....129..935C,0,2005AJ....129..935C,2.95,2005AJ....129..935C,,,,,,,,,16.07,none,,,Gaia DR3 3222268122557250304,2.9327,0.0265,none,none,TRUE,FALSE,FALSE,FALSE,19.8,2020AJ....160..120J,15.05605888,16.25941277,13.95809937
V510 ORI,V510 Ori,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=Haro+5-27,84.91595033,-2.522740869,2016,2016ApJ...829...38M,MW,Sigma Ori,396.6365223,4.216190226,K5.5,2016ApJ...829...38M,,,4140,2016ApJ...829...38M,,,0.875,2016ApJ...829...38M,,,,,,,,,1.4,2016ApJ...829...38M,-8.38,2016ApJ...829...38M,0.048,2016ApJ...829...38M,6.99,2016ApJ...829...38M,,,,,14.59,2005AJ....129..935C,,,14.3,none,,,Gaia DR3 3216493758070824064,2.5212,0.0268,none,none,TRUE,FALSE,FALSE,FALSE,33.4,2020AJ....160..120J,13.68946075,14.29975319,12.86629772
CVSO 107,CVSO 107,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=Kiso+A-0904+4,83.10742912,-0.614828642,2016,2005AJ....129..935C,MW,Ori OB1b,335.0869551,2.537601844,K7,2005AJ....129..935C,,,4060,2005AJ....129..935C,0.0086,2005AJ....129..935C,0.77,2005AJ....129..935C,,,,,,,,,2.04,2005AJ....129..935C,-7.96,2005AJ....129..935C,0.103,2005AJ....129..935C,2.12,2005AJ....129..935C,,,,,15.24,2005AJ....129..935C,,,14.78,none,,,Gaia DR3 3220694442244758784,2.9843,0.0226,none,none,TRUE,FALSE,FALSE,FALSE,17.5,2020AJ....160..120J,14.16493034,14.99910641,13.20381641
CVSO 165,CVSO 165,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=Kiso+A-0904+76,84.76072363,-1.342346479,2016,2005AJ....129..935C,MW,Ori OB1b,315.2982722,20.25042819,K6,2005AJ....129..935C,,,4205,2005AJ....129..935C,0.17,2005AJ....129..935C,0.91,2005AJ....129..935C,,,,,,,,,2.29,2005AJ....129..935C,-8.43,2005AJ....129..935C,0,2005AJ....129..935C,1.72,2005AJ....129..935C,,,,,15.25,2005AJ....129..935C,,,13.68,none,,,Gaia DR3 3217473702105162752,3.1716,0.2037,none,none,TRUE,FALSE,FALSE,FALSE,27.4,2020AJ....160..120J,13.3843956,14.04236794,12.39279461
CVSO 176,CVSO 176,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=Haro+5-91,85.10064481,-0.522614616,2016,2005AJ....129..935C,MW,Ori OB1b,306.8143466,2.95584036,M3,2005AJ....129..935C,,,3470,2005AJ....129..935C,-0.15,2005AJ....129..935C,0.35,2005AJ....129..935C,,,,,,,,,2.32,2005AJ....129..935C,-8.37,2005AJ....129..935C,0,2005AJ....129..935C,1.06,2005AJ....129..935C,,,,,16.51,2005AJ....129..935C,,,15.65,none,,,Gaia DR3 3219230167633274752,3.2593,0.0314,none,none,TRUE,FALSE,FALSE,FALSE,,,14.9407177,16.1716156,13.80086708
CVSO 58,CVSO 58,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=Kiso+A-0903+176,82.34693259,-1.420963234,2016,2005AJ....129..935C,MW,Ori OB1b,354.2456339,2.898818287,K7,2005AJ....129..935C,,,4060,2005AJ....129..935C,-0.21,2005AJ....129..935C,0.78,2005AJ....129..935C,,,,,,,,,1.58,2005AJ....129..935C,-8.35,2005AJ....129..935C,0.039,2005AJ....129..935C,4.02,2005AJ....129..935C,,,,,15.52,2005AJ....129..935C,,,14.93,none,,,Gaia DR3 3220241585188156032,2.8229,0.0231,none,none,TRUE,FALSE,FALSE,FALSE,24.1,2020AJ....160..120J,14.29393101,15.0781889,13.38240814
CVSO 17,CVSO 17 ,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=CVSO+17,80.76958275,1.620812705,2016,2005AJ....129..935C,MW,Ori OB1a,422.6899992,9.487208959,M3,2005AJ....129..935C,,,3470,2005AJ....129..935C,-0.72,2005AJ....129..935C,0.33,2005AJ....129..935C,,,,,,,,,1.2,2005AJ....129..935C,-9.22,2005AJ....129..935C,0,2005AJ....129..935C,3.63,2005AJ....129..935C,,,,,,,,,16.16,none,,,Gaia DR3 3222180814461726976,2.3658,0.0531,none,none,TRUE,FALSE,FALSE,FALSE,27,2020AJ....160..120J,15.1692152,16.39216805,14.05661678
Sz 75,GQ Lup,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=CD-35+10525,237.3003618,-35.65150872,2016,2017A&A...600A..20A ,MW,Lupus I,154.0998259,0.686281258,K6,2017A&A...600A..20A,,,4205,2017A&A...600A..20A ,0.16,2017A&A...600A..20A ,0.86,2017A&A...600A..20A,,,,,,,,,2.26,2017A&A...600A..20A,-7.67,2017A&A...600A..20A,0.226,2017A&A...600A..20A,,,,,,,12.19,2005AJ....129..935C,,,11.4,none,,,Gaia DR3 6011522757643074304,6.4893,0.0289,none,none,TRUE,FALSE,FALSE,FALSE,-3.6,2017A&A...602A..33F,11.24299431,12.05592728,10.31329823
Sz 77,Sz 77,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=Sz+77,237.9455898,-35.94569433,2016,2017A&A...600A..20A ,MW,Lupus I,155.2529847,0.433862807,K7,2017A&A...600A..20A,,,4060,2017A&A...600A..20A ,-0.26,2017A&A...600A..20A ,0.75,2017A&A...600A..20A,,,,,,,,,1.5,2017A&A...600A..20A,-8.79,2017A&A...600A..20A,0,2017A&A...600A..20A,,,,,,,,,,,13.26,none,,,Gaia DR3 6011392186336443392,6.4411,0.018,none,none,TRUE,FALSE,FALSE,FALSE,2.4,2017A&A...602A..33F,11.88174057,12.72149563,10.92540932
Sz 72,HM Lup,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V*+HM+Lup,236.9608766,-35.47660422,2016,2017A&A...600A..20A ,MW,Lupus I,156.7127925,0.451883748,M2,2014A&A...561A...2A,,,3560,2017A&A...600A..20A ,-0.6,2017A&A...600A..20A ,0.37,2014A&A...561A...2A,,,,,,,,,1.29,2017A&A...600A..20A,-8.65,2014A&A...561A...2A,0.242,2014A&A...561A...2A,,,,,,,,,,,14.79,none,,,Gaia DR3 6011573266459331072,6.3811,0.0184,none,none,TRUE,FALSE,FALSE,FALSE,6.9,2017A&A...602A..33F,13.49757767,14.76075268,12.34747314
Sz 69,HW Lup,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V*+HW+Lup,236.3224689,-34.3079577,2016,2017A&A...600A..20A ,MW,Lupus I,152.5599561,1.603615819,M4.5,2014A&A...561A...2A,,,3197,2017A&A...600A..20A ,-1.06,2017A&A...600A..20A ,0.2,2014A&A...561A...2A,,,,,,,,,0.97,2017A&A...600A..20A,-9.51,2014A&A...561A...2A,0,2014A&A...561A...2A,,,,,,,,,,,16.25,none,,,Gaia DR3 6014696635395955200,6.5548,0.0689,none,none,TRUE,FALSE,FALSE,FALSE,5.4,2017A&A...602A..33F,14.87979794,16.43581963,13.57184219
Sz 76,Sz 76,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=Sz+76,237.3779944,-35.83105348,2016,2017A&A...600A..20A ,MW,Lupus I,156.401514,0.562612972,M4,2017A&A...600A..20A,,,3270,2017A&A...600A..20A ,-0.8,2017A&A...600A..20A ,0.23,2017A&A...600A..20A,,,,,,,,,1.24,2017A&A...600A..20A,-9.26,2017A&A...600A..20A,0.065,2017A&A...600A..20A,,,,,,,,,,,15.18,none,,,Gaia DR3 6011500389453302272,6.3938,0.023,none,none,TRUE,FALSE,FALSE,FALSE,1.4,2017A&A...602A..33F,13.87110043,15.28743076,12.66749573
Sz 71,GW Lup,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V*+GW+Lup,236.6862963,-34.51001418,2016,2017A&A...600A..20A ,MW,Lupus I,155.2023839,0.414309815,M1.5,2014A&A...561A...2A,,,3632,2017A&A...600A..20A ,-0.51,2017A&A...600A..20A ,0.42,2014A&A...561A...2A,,,,,,,,,1.43,2017A&A...600A..20A,-9.06,2014A&A...561A...2A,0.161,2014A&A...561A...2A,,,,,,,,,,,13.54,none,,,Gaia DR3 6014722194741392512,6.4432,0.0172,none,none,TRUE,FALSE,FALSE,FALSE,-3.3,2017A&A...602A..33F,13.09702396,14.33995628,11.96451569
Sz 66,Sz 66,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=Sz+66,234.8677744,-34.77178662,2016,2017A&A...600A..20A ,MW,Lupus I,155.9235351,0.653996803,M3,2014A&A...561A...2A,,,3415,2017A&A...600A..20A ,-0.7,2017A&A...600A..20A ,0.29,2014A&A...561A...2A,3.68,derived,,,,,,,1.29,2017A&A...600A..20A,-8.54,2014A&A...561A...2A,0.323,2014A&A...561A...2A,,,,,,,,,,,15,none,,,Gaia DR3 6013399830146943104,6.4134,0.0269,none,none,TRUE,FALSE,FALSE,FALSE,2.4,2017A&A...602A..33F,13.89215469,15.69872379,12.60728073
Hn 5,GX Cha,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=Hn+5,166.6737219,-76.59696539,2016,2017A&A...604A.127M,MW,Cha I,194.6888872,0.943803693,M5,2017A&A...604A.127M,,,3125,2017A&A...604A.127M,-1.3,2017A&A...604A.127M,0.16,2017A&A...604A.127M,3.87,derived,,,,,,,0.77,derived,-9.28,2017A&A...604A.127M,0,2017A&A...604A.127M,6.3,2008hsf2.book..169L,-0.08,2014A&A...568A...2S,,,,,,,,,,,Gaia DR3 5201347064956072448,5.1364,0.0249,none,none,TRUE,FALSE,FALSE,FALSE,15,2017A&A...601A..97S,15.12690544,16.84237099,13.83168221
Sz 111,Sz 111,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=THA+15-33,242.2277981,-39.62875218,2016,2017A&A...600A..20A ,MW,Lupus III,158.3656663,0.514133528,M1,2014A&A...561A...2A,,,3705,2017A&A...600A..20A ,-0.48,2017A&A...600A..20A ,0.47,2014A&A...561A...2A,,,,,,,,,1.4,2017A&A...600A..20A,-9.12,2014A&A...561A...2A,0,2014A&A...561A...2A,,,,,,,,,,,13.98,none,,,Gaia DR3 5997006897751436544,6.3145,0.0205,none,none,TRUE,FALSE,FALSE,FALSE,-1.2,2017A&A...602A..33F,13.30550766,14.37078094,12.23783207
Sz 130,Sz 130,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=Sz+130,240.1292582,-41.72704498,2016,2017A&A...600A..20A ,MW,Lupus IV,159.1799051,0.509298668,M2,2014A&A...561A...2A,,,3560,2017A&A...600A..20A ,-0.8,2017A&A...600A..20A ,0.41,2014A&A...561A...2A,,,,,,,,,1.03,2017A&A...600A..20A,-9.19,2014A&A...561A...2A,0,2014A&A...561A...2A,,,,,,,,,,,14.71,none,,,Gaia DR3 5995197552601942528,6.2822,0.0201,none,none,TRUE,FALSE,FALSE,FALSE,3.6,2017A&A...602A..33F,13.65358734,14.86996174,12.52722931
IN Cha,IN Cha,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=Sz+40,168.0405488,-76.57680796,2016,2017A&A...604A.127M,MW,Cha I,192.5595009,0.812033634,M5,2017A&A...604A.127M,,,3125,2017A&A...604A.127M,-0.85,2017A&A...604A.127M,0.17,2017A&A...604A.127M,3.44,derived,,,,,,,1.29,derived,-9.34,2017A&A...604A.127M,0.032,2017A&A...604A.127M,6.3,2008hsf2.book..169L,-0.08,2014A&A...568A...2S,,,,,,,,,,,Gaia DR3 5201303874764724352,5.1932,0.0219,none,none,TRUE,FALSE,FALSE,FALSE,15.2,2017A&A...601A..97S,14.4095974,16.38767433,13.08093834
SSTc2d J160000.6-422158,SSTc2d J160000.6-422158,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=2MASS+J16000060-4221567,240.0024395,-42.36588903,2016,2017A&A...600A..20A ,MW,Lupus IV,159.4336915,0.805785533,M4.5,2017A&A...600A..20A,,,3200,2017A&A...600A..20A ,-1.06,2017A&A...600A..20A ,0.2,2017A&A...600A..20A,,,,,,,,,0.96,2017A&A...600A..20A,-9.81,2017A&A...600A..20A,0,2017A&A...600A..20A,,,,,,,,,,,15.85,none,,,Gaia DR3 5995139690801717120,6.2722,0.0317,none,none,TRUE,FALSE,FALSE,FALSE,2.5,2017A&A...602A..33F,14.92916775,16.70979691,13.65609169
WZ Cha,WZ Cha,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V*+WZ+Cha,167.7217561,-76.57557529,2016,2017A&A...604A.127M,MW,Cha I,193.2255135,0.616045635,M3,2017A&A...604A.127M,,,3415,2017A&A...604A.127M,-0.8,2017A&A...604A.127M,0.3,2017A&A...604A.127M,3.79,derived,,,,,,,1.14,derived,-7.96,2017A&A...604A.127M,0.387,2017A&A...604A.127M,6.3,2008hsf2.book..169L,-0.08,2014A&A...568A...2S,,,,,,,15.48,none,,,Gaia DR3 5201303325008889856,5.1753,0.0165,none,none,TRUE,FALSE,FALSE,FALSE,49.8,2017A&A...601A..97S,14.26666737,15.42306423,13.13186646
SSTc2d J161344.1-373646,SSTc2d J161344.1-373646,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=2MASS+J16134410-3736462,243.4336777,-37.61295412,2016,2017A&A...600A..20A ,MW,Lupus III,158.5489599,1.304650403,M5,2017A&A...600A..20A,,,3125,2017A&A...600A..20A ,-1.16,2017A&A...600A..20A ,0.16,2017A&A...600A..20A,,,,,,,,,0.9,2017A&A...600A..20A,-8.94,2017A&A...600A..20A,0.194,2017A&A...600A..20A,,,,,,,,,,,17.32,none,,,Gaia DR3 5997644343928854656,6.3072,0.0519,none,none,TRUE,FALSE,FALSE,FALSE,-1.2,2017A&A...602A..33F,15.95774937,17.46288872,14.71742535
VZ Cha,VZ Cha,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V*+VZ+Cha,167.34865,-76.38912858,2016,2017A&A...604A.127M,MW,Cha I,191.1241925,0.562538237,M0.5,2017A&A...604A.127M,,,3780,2017A&A...604A.127M,-0.26,2017A&A...604A.127M,0.49,2017A&A...604A.127M,3.64,derived,,,,,,,1.73,derived,-7.33,2017A&A...604A.127M,0.387,2017A&A...604A.127M,6.3,2008hsf2.book..169L,-0.08,2014A&A...568A...2S,,,,,,,12.94,none,,,Gaia DR3 5201353936903777152,5.2322,0.0154,none,none,TRUE,FALSE,FALSE,FALSE,38.2,1996A&A...308..107D,12.61154175,13.39409637,11.63926125
SSTc2d J161243.8-381503,SSTc2d J161243.8-381503,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=2MASS+J16124373-3815031,243.1822433,-38.25095395,2016,2017A&A...600A..20A ,MW,Lupus III,159.8491024,0.454820893,M1,2017A&A...600A..20A,,,3705,2017A&A...600A..20A ,-0.21,2017A&A...600A..20A ,0.44,2017A&A...600A..20A,,,,,,,,,1.91,2017A&A...600A..20A,-8.76,2017A&A...600A..20A,0.258,2017A&A...600A..20A,,,,,,,,,,,13.44,none,,,Gaia DR3 5997549820286701440,6.2559,0.0178,none,none,TRUE,FALSE,FALSE,FALSE,-2.3,2017A&A...602A..33F,13.1327076,14.28027248,12.05741501
RECX 5,EK Cha,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V*+EK+Cha,130.6122009,-78.96318907,2016,2018A&A...609A..70R,MW,eta Cha,98.50081756,0.133893273,M4.5,2018A&A...609A..70R,,,3085,2018A&A...609A..70R,-1.17,2018A&A...609A..70R,0.15,2018A&A...609A..70R,3.69,derived,,,,,,,0.91,derived,-9.89,2018A&A...609A..70R,0,2018A&A...609A..70R,,,,,,,,,,,15.2,none,,,Gaia DR3 5209037736474704512,10.1522,0.0138,none,none,TRUE,FALSE,FALSE,FALSE,18.2,2019AJ....157..234S,13.72201443,15.35207844,12.48805046
RECX 9,EN Cha,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V*+EN+Cha,131.0676563,-78.98545148,2016,2018A&A...609A..70R,MW,eta Cha,none,none,M4.5,2018A&A...609A..70R,,,3085,2018A&A...609A..70R,-1.02,2018A&A...609A..70R,0.15,2018A&A...609A..70R,3.54,derived,,,,,,,1.08,derived,-9.92,2018A&A...609A..70R,0,2018A&A...609A..70R,,,,,,,,,,,15,none,,,Gaia DR3 5209025366968905856,         ,       ,none,none,TRUE,FALSE,FALSE,FALSE,18.5,2019AJ....157..234S,13.7843399,15.28207779,12.15376568
ECHA J0844.2-7833,RECX 16,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=2MASS+J08440915-7833457,131.0374963,-78.56259838,2016,2018A&A...609A..70R,MW,eta Cha,99.56093627,0.389556535,M6.0,2018A&A...609A..70R,,,2860,2018A&A...609A..70R,-2.11,2018A&A...609A..70R,0.052,2018A&A...609A..70R,4.03,derived,,,,,,,0.36,derived,-10.18,2018A&A...609A..70R,0,2018A&A...609A..70R,,,,,,,,,,,18.4,none,,,Gaia DR3 5209140815689766144,10.0441,0.0393,none,none,TRUE,FALSE,FALSE,FALSE,17.8,2019AJ....157..234S,16.21525002,18.16502762,14.84399796
2MASS J11432669-7804454,[FLG2003] eps Cha 17,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=[FLG2003]+eps+Cha+17,175.8602743,-78.07932585,2016,2017A&A...604A.127M,MW,Cha I,153.435419,9.671229346,M5.5,2017A&A...604A.127M,,,3060,2017A&A...604A.127M,-1.05,2017A&A...604A.127M,0.14,2017A&A...604A.127M,3.52,derived,,,,,,,1.07,derived,-8.71,2017A&A...604A.127M,0.129,2017A&A...604A.127M,6.3,2008hsf2.book..169L,-0.08,2014A&A...568A...2S,,,,,,,,,,,Gaia DR3 5200220890172379264,6.5174,0.4108,none,none,TRUE,FALSE,FALSE,FALSE,15.6,2017AJ....153...95R,14.90070343,16.61576653,13.55613232
