target_name_ullyses,target_name_simbad,target_classification,simbad_link,targ_ra,targ_dec,coordinate_epoch,source_catalog,host_galaxy_name,host_cluster_name,d_gaia,d_gaia_err,spectral_type,spectral_type_ref,temp_class,lum_class,star_teff,star_teff_ref,star_luminosity,star_luminosity_ref,star_mass,star_mass_ref,surface_gravity,surface_gravity_ref,rotation_period,rotation_period_ref,rotation_velocity,rotation_velocity_ref,terminal_velocity,terminal_velocity_ref,star_radius,star_radius_ref,rate_accretion,rate_accretion_ref,extinction_ebmv,extinction_ebmv_ref,age,age_ref,metallicity,metallicity_ref,fuv_mag,nuv_mag,u_mag,u_mag_ref,b_mag,b_mag_ref,v_mag,v_mag_ref,i_mag,i_mag_ref,gaia_id,gaia_parallax,gaia_parallax_err,known_binary,known_binary_ref,is_variable,is_monitor_targ,extended,Extra,radial_velocity,radial_velocity_ref,gaia_g_mean_mag,gaia_bp_mean_mag,gaia_rp_mean_mag
CHX 18N,CHX 18N,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=CHX+18N,167.9426591,-76.33582009,2016,2017A&A...604A.127M,MW,Cha I,191.6149306,0.378177701,K2,2017A&A...604A.127M,,,4900,2017A&A...604A.127M,0.01,2017A&A...604A.127M,1.25,2017A&A...604A.127M,4.23,derived,,,,,,,1.41,derived,-8.09,2017A&A...604A.127M,0.258,2017A&A...604A.127M,6.3,2008hsf2.book..169L,-0.08,2014A&A...568A...2S,,,,,,,11.96,none,,,Gaia DR3 5225327134382282880,5.2188,0.0103,none,none,TRUE,FALSE,FALSE,FALSE,16.4,2017A&A...601A..97S,11.54046822,12.34989834,10.61864567
Sz 45,Sz 45,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=Ass+Cha+T+1-32,169.4036279,-77.07726223,2016,2017A&A...604A.127M,MW,Cha I,188.8752479,0.527973117,M0.5,2017A&A...604A.127M,,,3780,2017A&A...604A.127M,-0.38,2017A&A...604A.127M,0.51,2017A&A...604A.127M,3.78,derived,,,,,,,1.51,derived,-8.09,2017A&A...604A.127M,0.226,2017A&A...604A.127M,6.3,2008hsf2.book..169L,-0.08,2014A&A...568A...2S,,,,,,,13.5,none,,,Gaia DR3 5201272195086070144,5.2945,0.0148,none,none,TRUE,FALSE,FALSE,FALSE,14.9,2012ApJ...745..119N,13.0424757,14.01743412,12.0229187
Sz 10,Sz 10 ,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=Ass+Cha+T+1-8,165.7287898,-77.36410659,2016,2017A&A...604A.127M,MW,Cha I,184.2027704,1.330081897,M4.5,2017A&A...604A.127M,,,3200,2017A&A...604A.127M,-0.82,2017A&A...604A.127M,0.19,2017A&A...604A.127M,3.5,derived,,,,,,,1.27,derived,-8.7,2017A&A...604A.127M,0.258,2017A&A...604A.127M,6.3,2008hsf2.book..169L,-0.08,2014A&A...568A...2S,,,,,,,16.25,none,,,Gaia DR3 5201206052588955264,5.4288,0.0392,none,none,TRUE,FALSE,FALSE,FALSE,15,2017A&A...601A..97S,14.7886219,16.36036491,13.54447842
XX Cha,XX Cha,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V*+XX+Cha,167.9148933,-76.33751006,2016,2017A&A...604A.127M,MW,Cha I,192.0860546,0.796976331,M3.5,2017A&A...604A.127M,,,3340,2017A&A...604A.127M,-0.54,2017A&A...604A.127M,0.25,2017A&A...604A.127M,3.42,derived,,,,,,,1.61,derived,-7.41,2017A&A...604A.127M,0.323,2017A&A...604A.127M,6.3,2008hsf2.book..169L,-0.08,2014A&A...568A...2S,,,,,,,15.28,none,,,Gaia DR3 5225374074083637376,5.206,0.0216,none,none,TRUE,FALSE,FALSE,FALSE,16.2,2017A&A...601A..97S,13.73698807,14.92078876,12.60251617
SY Cha,SY Cha,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V*+SY+Cha,164.126142,-77.19426587,2016,2017A&A...604A.127M,MW,Cha I,180.7337791,0.388709917,K7,2017A&A...604A.127M,,,4060,2017A&A...604A.127M,-0.37,2017A&A...604A.127M,0.78,2017A&A...604A.127M,4.08,derived,,,,,,,1.32,derived,-9.41,2017A&A...604A.127M,0.161,2017A&A...604A.127M,6.3,2008hsf2.book..169L,-0.08,2014A&A...568A...2S,,,,,,,13.8,none,,,Gaia DR3 5201388292344009984,5.533,0.0119,none,none,TRUE,FALSE,FALSE,FALSE,15.7,2017A&A...601A..97S,12.5375576,13.5082407,11.54949093
Sz 19,DI Cha,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V*+DI+Cha,166.8358969,-77.63535796,2016,2017A&A...604A.127M,MW,Cha I,188.9894733,0.475036379,K0,2017A&A...604A.127M,,,5110,2017A&A...604A.127M,0.71,2017A&A...604A.127M,2.08,2017A&A...604A.127M,3.82,derived,,,,,,,2.9,derived,-7.63,2017A&A...604A.127M,0.484,2017A&A...604A.127M,6.3,2008hsf2.book..169L,-0.08,2014A&A...568A...2S,,,,,,,10.93,none,,,Gaia DR3 5201129121134048768,5.2913,0.0133,none,none,TRUE,FALSE,FALSE,FALSE,14.9,2017A&A...601A..97S,10.21033192,11.01076698,9.313051224
HD 104237E,[FLG2003] eps Cha 7,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=%5BFLG2003%5D+eps+Cha+7,180.0378731,-78.19510764,2016,2013A&A...549A..15F,MW,eps Cha,100.1983928,0.323278917,K5.5,2013A&A...549A..15F,,,4278,2013A&A...549A..15F,-0.04,2013A&A...549A..15F,0.9,2013A&A...549A..15F,3.9,derived,,,,,,,1.74,derived,-9.07,2013A&A...549A..15F,0.323,2013A&A...549A..15F,,,,,,,,,,,12.08,none,,,Gaia DR3 5836666564480769280,9.9802,0.0322,none,none,TRUE,FALSE,FALSE,FALSE,13.4,2017AJ....153...95R,12.05540943,12.88254166,10.88403893
Sz 110,V1193 Sco,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V*+V1193+Sco,242.2148179,-39.05502222,2016,2017A&A...600A..20A ,MW,Lupus III,157.4902356,0.590315549,M4,2014A&A...561A...2A,,,3270,2017A&A...600A..20A ,-0.56,2017A&A...600A..20A ,0.22,2014A&A...561A...2A,,,,,,,,,1.61,2017A&A...600A..20A,-8.53,2014A&A...561A...2A,0,2014A&A...561A...2A,,,,,,,,,,,14.58,none,,,Gaia DR3 5997082390415552768,6.3496,0.0238,none,none,TRUE,FALSE,FALSE,FALSE,2.6,2017A&A...602A..33F,13.73846722,14.91731167,12.62401485
RXJ1842.9-3532,WRAY 15-1880,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=WRAY+15-1880,280.7415961,-35.54534957,2016,2014A&A...568A..18M,MW,CrA,151.0300248,0.410581231,K2,2014A&A...568A..18M,,,4900,2014A&A...568A..18M,-0.25,2014A&A...568A..18M,0.93,2014A&A...568A..18M,4.37,derived,,,,,,,1.03,2014A&A...568A..18M,-8.8,2014A&A...568A..18M,0.129,2014A&A...568A..18M,,,,,,,,,,,11.77,none,,,Gaia DR3 6733646363730649856,6.6212,0.018,none,none,TRUE,FALSE,FALSE,FALSE,-6,2018ApJ...856...23G,11.72025299,12.41178703,10.88300228
Sz 84,Sz 84,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=Sz+84,239.510431,-37.60086067,2016,2017A&A...600A..20A ,MW,Lupus I,155.5790653,1.081956596,M5,2014A&A...561A...2A,,,3125,2017A&A...600A..20A ,-0.91,2017A&A...600A..20A ,0.16,2014A&A...561A...2A,,,,,,,,,1.21,2017A&A...600A..20A,-9.21,2014A&A...561A...2A,0,2014A&A...561A...2A,,,,,,,,,,,16.16,none,,,Gaia DR3 6010216537834709760,6.4276,0.0447,none,none,TRUE,FALSE,FALSE,FALSE,-3.1,2017A&A...602A..33F,14.4000597,16.30613327,13.06989098
RX J1556.1-3655,WRAY 15-1384,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=WRAY+15-1384,239.0086817,-36.92462072,2016,2017A&A...600A..20A ,MW,Lupus II,157.955425,0.573848074,M1,2017A&A...600A..20A,,,3705,2017A&A...600A..20A ,-0.63,2017A&A...600A..20A ,0.5,2017A&A...600A..20A,,,,,,,,,1.17,2017A&A...600A..20A,-7.92,2017A&A...600A..20A,0.323,2017A&A...600A..20A,,,,,,,14.91,none,,,13.85,none,,,Gaia DR3 6010483616079976448,6.3309,0.023,none,none,TRUE,FALSE,FALSE,FALSE,2.6,2017A&A...602A..33F,12.84970284,13.76230049,11.88136005
Sz 82,IM Lup,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=THA+15-12,239.0382932,-37.93514048,2016,2017A&A...600A..20A ,MW,Lupus II,155.823919,0.534184062,K5,2017A&A...600A..20A,,,4350,2017A&A...600A..20A ,0.37,2017A&A...600A..20A ,0.95,2017A&A...600A..20A,,,,,,,,,2.69,2017A&A...600A..20A,-8.04,2017A&A...600A..20A,0.29,2017A&A...600A..20A,,,,,,,,,,,11.93,none,,,Gaia DR3 6010135758090335232,6.4175,0.022,none,none,TRUE,FALSE,FALSE,FALSE,-0.5,2017A&A...602A..33F,11.18608093,12.01396751,10.23944187
Sz 114,V908 Sco,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=THA+15-35,242.2576482,-39.08688869,2016,2017A&A...600A..20A ,MW,Lupus III,156.7594683,0.567648564,M4.8,2014A&A...561A...2A,,,3175,2017A&A...600A..20A ,-0.51,2017A&A...600A..20A ,0.21,2014A&A...561A...2A,,,,,,,,,1.82,2017A&A...600A..20A,-8.96,2014A&A...561A...2A,0.097,2014A&A...561A...2A,,,,,,,,,,,14.12,none,,,Gaia DR3 5997410491550194816,6.3792,0.0231,none,none,TRUE,FALSE,FALSE,FALSE,4,2017A&A...602A..33F,13.64161968,15.26147366,12.41427326
Sz 99,Sz 99,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=THA+15-25,242.1001237,-39.09717,2016,2017A&A...600A..20A ,MW,Lupus III,158.290463,1.074896852,M4,2014A&A...561A...2A,,,3270,2017A&A...600A..20A ,-1.13,2017A&A...600A..20A ,0.23,2014A&A...561A...2A,,,,,,,,,0.89,2017A&A...600A..20A,-9.41,2014A&A...561A...2A,0,2014A&A...561A...2A,,,,,,,,,,,16,none,,,Gaia DR3 5997082768372892160,6.3175,0.0429,none,none,TRUE,FALSE,FALSE,FALSE,3.2,2017A&A...602A..33F,15.22273922,16.99620438,13.95843792
Sz 117,Sz 117,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=THA+15-37,242.4347895,-39.22515516,2016,2017A&A...600A..20A ,MW,Lupus III,156.9489131,0.487732634,M3.5,2017A&A...600A..20A,,,3340,2017A&A...600A..20A ,-0.35,2017A&A...600A..20A ,0.26,2017A&A...600A..20A,,,,,,,,,2,2017A&A...600A..20A,-8.61,2017A&A...600A..20A,0.161,2017A&A...600A..20A,,,,,,,,,,,14.59,none,,,Gaia DR3 5997393311680941696,6.3715,0.0198,none,none,TRUE,FALSE,FALSE,FALSE,-1.4,2017A&A...602A..33F,13.73702145,15.03924274,12.59213543
Sz 97,Sz 97,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=THA+15-24,242.0907974,-39.07274328,2016,2017A&A...600A..20A ,MW,Lupus III,157.3415571,0.648616778,M4,2014A&A...561A...2A,,,3270,2017A&A...600A..20A ,-0.77,2017A&A...600A..20A ,0.23,2014A&A...561A...2A,,,,,,,,,1.34,2017A&A...600A..20A,-9.53,2014A&A...561A...2A,0,2014A&A...561A...2A,,,,,,,,,,,14.61,none,,,Gaia DR3 5997082871452217344,6.3556,0.0262,none,none,TRUE,FALSE,FALSE,FALSE,2.4,2017A&A...602A..33F,14.27161598,15.82879829,13.04602909
Sz 100,Sz 100,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=THA+15-26,242.1072886,-39.10044489,2016,2017A&A...600A..20A ,MW,Lupus III,141.039745,2.615825572,M5.5,2014A&A...561A...2A,,,3057,2017A&A...600A..20A ,-0.77,2017A&A...600A..20A ,0.16,2014A&A...561A...2A,,,,,,,,,1.43,2017A&A...600A..20A,-9.44,2014A&A...561A...2A,0,2014A&A...561A...2A,,,,,,,,,,,15.43,none,,,Gaia DR3 5997082046818385408,7.0902,0.1315,none,none,TRUE,FALSE,FALSE,FALSE,2.7,2017A&A...602A..33F,14.80958176,16.6587944,13.46736336
Sz 98,V1279 Sco,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V*+V1279+Sco,242.0936679,-39.07967209,2016,2017A&A...600A..20A ,MW,Lupus III,156.2744179,0.569025463,K7,2017A&A...600A..20A,,,4060,2017A&A...600A..20A ,0.4,2017A&A...600A..20A ,0.7,2017A&A...600A..20A,,,,,,,,,3.2,2017A&A...600A..20A,-7.23,2017A&A...600A..20A,0.323,2017A&A...600A..20A,,,,,,,,,,,13.66,none,,,Gaia DR3 5997082867132347136,6.399,0.0233,none,none,TRUE,FALSE,FALSE,FALSE,-1.4,2017A&A...602A..33F,12.23120499,13.08665657,11.20956326
RX J1852.3-3700,RX J1852.3-3700,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=IRAS+18489-3703,283.0721053,-37.00344503,2016,2014A&A...568A..18M,MW,CrA,147.0891066,0.536553091,K2,2014A&A...568A..18M,,,4900,2014A&A...568A..18M,-0.11,2014A&A...568A..18M,1.04,2014A&A...568A..18M,4.28,derived,,,,,,,1.21,2014A&A...568A..18M,-8.7,2014A&A...568A..18M,0.323,2014A&A...568A..18M,,,,,,,,,,,12.19,none,,,Gaia DR3 6731011315385156224,6.7986,0.0248,none,none,TRUE,FALSE,FALSE,FALSE,-1,2018ApJ...856...23G,11.71556473,12.38287544,10.88881588
Sz 129,Sz 129,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=WRAY+15-1400,239.8185685,-41.95296394,2016,2017A&A...600A..20A ,MW,Lupus IV,160.1306666,0.4384753,K7,2017A&A...600A..20A,,,4060,2017A&A...600A..20A ,-0.43,2017A&A...600A..20A ,0.79,2017A&A...600A..20A,,,,,,,,,1.23,2017A&A...600A..20A,-8.4,2017A&A...600A..20A,0.29,2017A&A...600A..20A,,,,,,,,,,,12,none,,,Gaia DR3 5995168724780802944,6.2449,0.0171,none,none,TRUE,FALSE,FALSE,FALSE,3.2,2017A&A...602A..33F,12.36567402,13.2784481,11.39131451
Sz 104,Sz 104,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=THA+15-30,242.1283414,-39.09700787,2016,2017A&A...600A..20A ,MW,Lupus III,159.810784,1.062442646,M5,2014A&A...561A...2A,,,3125,2017A&A...600A..20A ,-0.99,2017A&A...600A..20A ,0.16,2014A&A...561A...2A,,,,,,,,,1.11,2017A&A...600A..20A,-9.75,2014A&A...561A...2A,0,2014A&A...561A...2A,,,,,,,,,,,15.25,none,,,Gaia DR3 5997082149897384320,6.2574,0.0416,none,none,TRUE,FALSE,FALSE,FALSE,2.3,2017A&A...602A..33F,15.10212231,17.05317497,13.7743063
Sz 103,Sz 103,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=THA+15-29,242.1260672,-39.10320802,2016,2017A&A...600A..20A ,MW,Lupus III,157.1536334,1.029875929,M4,2014A&A...561A...2A,,,3270,2017A&A...600A..20A ,-0.73,2017A&A...600A..20A ,0.22,2014A&A...561A...2A,,,,,,,,,1.41,2017A&A...600A..20A,-8.99,2014A&A...561A...2A,0.226,2014A&A...561A...2A,,,,,,,,,,,11.14,none,,,Gaia DR3 5997082046818384768,6.3632,0.0417,none,none,TRUE,FALSE,FALSE,FALSE,1.4,2017A&A...602A..33F,14.85091686,16.67811394,13.56237316
Sz 115,Sz 115,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=Sz+115,242.2758263,-39.14784965,2016,2017A&A...600A..20A ,MW,Lupus III,155.8214909,0.922652807,M4.5,2014A&A...561A...2A,,,3197,2017A&A...600A..20A ,-0.76,2017A&A...600A..20A ,0.19,2014A&A...561A...2A,,,,,,,,,1.36,2017A&A...600A..20A,-9.24,2014A&A...561A...2A,0.161,2014A&A...561A...2A,,,,,,,,,,,15.48,none,,,Gaia DR3 5997034252420531712,6.4176,0.038,none,none,TRUE,FALSE,FALSE,FALSE,6.4,2017A&A...602A..33F,14.53835297,16.29414558,13.25988197
RX J0438.6+1546,HD 285957,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=HD+285957,69.66286169,15.77034849,2016,2017A&A...605A..86M,MW,Taurus,139.8210291,0.346033587,K2,2017A&A...605A..86M,,,4900,2017A&A...605A..86M,-0.024,2017A&A...605A..86M,1.2,2017A&A...605A..86M,,,,,,,,,,,-9.52,2017A&A...605A..86M,0.097,2017A&A...605A..86M,,,,,,,,,,,10.86,none,,,Gaia DR3 3309970392669539200,7.152,0.0177,none,none,TRUE,FALSE,FALSE,FALSE,19,2018ApJ...856...23G,10.5050354,11.04319572,9.807388306
RECX 6,EL Cha,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V*+EL+Cha,130.660924,-78.91175125,2016,2018A&A...609A..70R,MW,eta Cha,98.10365632,0.150139507,M3,2018A&A...609A..70R,,,3410,2018A&A...609A..70R,-1,2018A&A...609A..70R,0.3,2018A&A...609A..70R,,,,,,,,,0.93,2018A&A...609A..70R,-10.6,2018A&A...609A..70R,0,2018A&A...609A..70R,,,,,,,,,,,14.1,none,,,Gaia DR3 5209038423669475712,10.1933,0.0156,none,none,TRUE,FALSE,FALSE,FALSE,18.4,2019AJ....157..234S,13.00161648,14.35555744,11.85316849
ECHA J0843.3-7915,ET Cha,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V*+ET+Cha,130.8267831,-79.08826836,2016,2018A&A...609A..70R,MW,eta Cha,103.3527637,2.402335415,M4.0,2018A&A...609A..70R,,,3190,2018A&A...609A..70R,-1.14,2018A&A...609A..70R,0.2,2018A&A...609A..70R,,,,,,,,,0.88,2018A&A...609A..70R,-9.12,2018A&A...609A..70R,0,2004ApJ...609..917L,,,,,,,,,,,13.97,none,,,Gaia DR3 5209024366240981632,9.6756,0.2249,none,none,TRUE,FALSE,FALSE,TRUE,,,13.34008026,14.50589561,12.17092228
RECX 1,EG Cha,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V*+EG+Cha,129.2335398,-78.94589,2016,2018A&A...609A..70R,MW,eta Cha,98.91294672,0.897171803,K6.0,2018A&A...609A..70R,,,4115,2018A&A...609A..70R,-0.0088,2018A&A...609A..70R,0.75,2018A&A...609A..70R,,,,,,,,,1.9,2018A&A...609A..70R,-9.12,2018A&A...609A..70R,0,2004ApJ...609..917L,,,,,,,,,,,10.457,none,,,Gaia DR3 5209082129256747008,10.1099,0.0917,none,none,TRUE,FALSE,FALSE,TRUE,17.6,2017AJ....153...95R,10.04014397,10.76526928,9.198646545
RECX 11,EP Cha,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V*+EP+Cha,131.7561483,-78.99276426,2016,2018A&A...609A..70R,MW,eta Cha,98.81618214,0.10838748,K6.0,2018A&A...609A..70R,,,4115,2018A&A...609A..70R,-0.34,2018A&A...609A..70R,0.83,2018A&A...609A..70R,,,,,,,,,1.3,2018A&A...609A..70R,-9.7,2018A&A...609A..70R,0,2004ApJ...609..917L,,,,,,,,,,,11.1,none,,,Gaia DR3 5209023133585929984,10.1198,0.0111,none,none,TRUE,FALSE,FALSE,TRUE,15.5,2023ApJS..265...12Q,10.67451286,11.38786793,9.851659775
MY Lup,MY Lup,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V*+MY+Lup,240.1854313,-41.92536273,2016,2017A&A...600A..20A,MW,Lupus IV,157.158573,0.876808006,K0  ,2017A&A...600A..20A,,,5100,2017A&A...600A..20A,-0.11,2017A&A...600A..20A,1.06,2017A&A...600A..20A,,,,,,,,,,,-9.67,2017A&A...600A..20A,0.419,2017A&A...600A..20A,,,,,,,,,,,12.17,none,,,Gaia DR3 5995177933191206016,6.363,0.0355,none,none,TRUE,FALSE,FALSE,TRUE,4.4,2017A&A...602A..33F,11.11285877,11.7390852,10.28436852
RY Lup,RY Lup,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V*+RY+Lup,239.868213,-40.36433478,2016,2017A&A...600A..20A,MW,Lupus IV,153.4848741,1.422879437,K2  ,2017A&A...600A..20A,,,4900,2017A&A...600A..20A,0.22,2017A&A...600A..20A,1.4,2017A&A...600A..20A,,,,,,,,,,,-8.19,2017A&A...600A..20A,0.129,2017A&A...600A..20A,,,,,,,,,,,9.9,none,,,Gaia DR3 5996151172781298304,6.5153,0.0604,none,none,TRUE,FALSE,FALSE,TRUE,1.3,2017A&A...602A..33F,10.99330902,11.50424767,10.11832047
SSTc2d J160830.7-382827,SSTc2d J160830.7-382827,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=IRAS+16051-3820,242.127858,-38.47423635,2016,2017A&A...600A..20A,MW,Lupus III,153.4212949,0.717911859,K2  ,2017A&A...600A..20A,,,4900,2017A&A...600A..20A,0.48,2017A&A...600A..20A,1.4,2017A&A...600A..20A,,,,,,,,,2.41,2017A&A...600A..20A,-8.96,2017A&A...600A..20A,0.065,2017A&A...600A..20A,8.3,2023A&A...669A.145C,,,,,,,11.89,none,11.15,none,,,Gaia DR3 5997490206145065088,6.518,0.0305,TRUE,2023A&A...669A.145C,TRUE,FALSE,FALSE,TRUE,1.2,2017A&A...602A..33F,10.67956066,11.23868752,9.95361805
Sz 68,HT Lup,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=CD-33+10685,236.3035392,-34.29194247,2016,2017A&A...600A..20A ,MW,Lupus I,153.4754516,1.290798341,K2  ,2017A&A...600A..20A,,,4900,2017A&A...600A..20A,0.71,2017A&A...600A..20A,1.4,2017A&A...600A..20A,,,,,,,,,3.14,2017A&A...600A..20A,-8.24,2017A&A...600A..20A,0.323,2017A&A...600A..20A,,,,,,,,,,,10.224,none,,,Gaia DR3 6014696841553696768,6.5157,0.0548,none,none,TRUE,FALSE,FALSE,TRUE,-4.3,2017A&A...602A..33F,9.766765594,10.52488804,8.904145241
VW Cha,VW Cha,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V*+VW+Cha,167.0058162,-77.70793569,2016,2017A&A...604A.127M,MW,Cha I,188.1573748,10.28462893,K7 ,2017A&A...604A.127M,,,4060,2017A&A...604A.127M,0.21,2017A&A...604A.127M,0.67,2017A&A...604A.127M,,,,,,,,,,,-7.6,2017A&A...604A.127M,0.613,2017A&A...604A.127M,,,,,,,13.91,none,,,12.8,none,,,Gaia DR3 5201126475432043776,5.3147,0.2905,none,none,TRUE,FALSE,FALSE,TRUE,10.7,2017A&A...601A..97S,12.40274811,12.96664238,10.75586224
CS Cha,CS Cha,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V*+CS+Cha,165.6032095,-77.55988522,2016,2009ApJ...703.1964F,MW,Cha I,168.7735228,1.922703885,K2 ,2009ApJ...703.1964F,,,4900,2017A&A...604A.127M,0.28,2013ApJ...767..112I,0.9,2013ApJ...767..112I,,,,,,,,,2.7,2013ApJ...767..112I,-8.29,2013ApJ...767..112I,0.258,2017A&A...604A.127M,,,,,,,,,,,11.69,none,,,Gaia DR3 5201179389431267584,5.9251,0.0675,none,none,TRUE,FALSE,FALSE,TRUE,14.3,2017A&A...601A..97S,11.07532406,11.78484821,10.23532677
CV Cha,CV Cha,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V*+CV+Cha,168.1150203,-76.73953197,2016,2009ApJ...703.1964F,MW,Cha I,191.7619084,0.522171339,K0 ,2009ApJ...703.1964F,,,5500,2009MNRAS.398..189H,0.89,2009MNRAS.398..189H,1.5,2013ApJ...767..112I,,,,,,,,,2.5,2009MNRAS.398..189H,-7.48,2017A&A...604A.127M,0.323,2009ApJ...703.1964F,,,,,,,,,,,10.98,none,,,Gaia DR3 5201295319189803392,5.2148,0.0142,none,none,TRUE,FALSE,FALSE,TRUE,15.3,2017AJ....153...95R,10.48056316,11.17189598,9.653670311
LkCa 15,EM* LkCa 15,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=EM*+LkCa+15,69.82418065,22.35086379,2016,2011ApJS..195....3F,MW,Taurus,157.1857464,0.652274274,K5,2011ApJS..195....3F,,,4730,2019ApJ...877L...3C,-0.097,2013ApJ...767..112I,1.1,2013ApJ...767..112I,,,,,,,,,1.6,2013ApJ...767..112I,-8.51,2013ApJ...767..112I,0.355,2013ApJ...767..112I,,,,,,,,,,,12.03,none,,,Gaia DR3 144936836795636864 ,6.3619,0.0264,none,none,TRUE,FALSE,FALSE,TRUE,13,2018ApJ...856...23G,11.59110451,12.3249855,10.68642521
