Target,Target_LINK,RA(J2000),DEC(J2000),AV,Sk,M2002,NGC346 MPG,NGC346 ELS,NGC346 W,2dFS,SpT,E(B-V),B,V,v sin i,COS,STIS,ORB,FUSE,COS G130M 1096,COS G130M 1291,COS G160M 1611,COS G185M 1953,COS G185M 1986,STIS E140M 1425,STIS E230M 1978,STIS E230M 2707,Modes To Be Observed,archival UV ,Other AR Modes,VLT,ULL,
NGC346 355,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC+346+MPG+355&submit=submit+id"" target=""_blank""> NGC346 355</a>",00h59m00.7611s,-72d10m28.1908s,,,45068,355,,3,,O2III(f*),0.1,12.56,12.74,110,0,2,2,F,,,,,,p,,,STIS/E140M,FUSE-STIS/E140M/1425,VLT/GIRAFFE-VLT/UVES,gu,1,
SK 183,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+183&submit=submit+id"" target=""_blank""> SK 183</a>",01h29m24.5516s,-73d33m16.3656s,,183,83235,,,,,O3 V((f*))z,0.05,13.59,13.82,100,1,2,3,,p,,,,,p,,,COS/G130M/1096-STIS/E140M,,VLT/GIRAFFE,g,1,
AV 14,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+14&submit=submit+id"" target=""_blank""> AV 14</a>",00h46m32.627s,-73d06m05.652s,14,9,7187,,,,,O3-4V,0.09,13.58,13.77,261,1,0,1,F,,p,p,ao,,,,,COS/G130M/1291-COS/G160M/1611,FUSE,VLT/UVES,u,1,
NGC346 435,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC+346+W+1&submit=submit+id"" target=""_blank""> NGC346 435</a>",00h59m04.4987s,-72d10m24.7663s,,,,435,,1,,O4III(n)(f),0.05,12.34,12.57,180,0,1,1,F,,,,,,p,,,STIS/E140M,FUSE-STIS/E140M/1425,VLT/GIRAFFE,g,1,
AV 177,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+177&submit=submit+id"" target=""_blank""> AV 177</a>",00h56m44.1059s,-72d03m31.6992s,177,,38024,,,,,O4 V((f)),0.07,14.32,14.53,428,0,0,0,F,,ao,oo,,,,,,,FUSE-COS/G130M/1291-COS/G130M/1327-COS/G160M/1577-COS/G160M/1623,,,2,
AV 435,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+435&submit=submit+id"" target=""_blank""> AV 435</a>",01h08m17.908s,-71d59m54.386s,435,,67670,,,,,O4 V,0.22,13.94,14,96,1,0,1,F,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,FUSE ,,,1,
NGC346 7,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=CL*+NGC+346+ELS+7&submit=submit+id"" target=""_blank""> NGC346 7</a>",00h58m57.3983s,-72d10m33.6801s,,,44908,324,7,6,,O4V((f)),0,13.79,14.07,74,0,0,0,F,,,,,,a,,,,FUSE-STIS/E140M/1425,VLT/GIRAFFE-VLT/UVES,gu,2,
AV 388,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+388&submit=submit+id"" target=""_blank""> AV 388</a>",01h05m39.5332s,-72d29m26.9583s,388,,62400,,,,,O4 V,0.07,13.88,14.09,147,0,0,0,F,,ao,oo,,,a,a,,,COS/G130M/1291-COS/G130M/1327-COS/G160M/1577-COS/G160M/1623-FUSE-STIS/E140M/1425-STIS/E230M/1978,VLT/UVES,u,2,
AV 75,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+75&submit=submit+id"" target=""_blank""> AV 75</a>",00h50m32.4076s,-72d52m36.4607s,75,38,16828,,,,,O5III(f+),0.13,12.55,12.7,94,0,0,0,F,,aooooo,oo,,,a,,,,COS/G130M/1222-COS/G130M/1291-COS/G130M/1300-COS/G130M/1309-COS/G130M/1318-COS/G130M/1327-COS/G160M/1577-COS/G160M/1623-FUSE-STIS/E140M/1425,,,2,
AV 296,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+296&submit=submit+id"" target=""_blank""> AV 296</a>",01h02m08.6506s,-72d13m20.0301s,296,,52948,,,,,O5 V:,0.09,14.07,14.26,,4,0,4,,p,p,p,,,,,,COS/G130M/1096-COS/G130M/1291-COS/G160M/1611,,,,1,
AV 377,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+377&submit=submit+id"" target=""_blank""> AV 377</a>",01h05m07.3849s,-72d48m18.7343s,377,,61105,,,,1971,O5 V((f)),0.03,14.34,14.59,51,0,0,0,F,,a ,a ,,,,,,,FUSE,,,2,
NGC346 368,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC+346+MPG+368&submit=submit+id"" target=""_blank""> NGC346 368</a>",00h59m01.81s,-72d10m31.3s,,,,368,,,,O5.5V((f+)),0.13,13.89,14.04,60,2,0,2,,p,,,,,a,,,COS/G130M/1096,STIS/E140M/1425,VLT/GIRAFFE-VLT/UVES,gu,1,
AV 61,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+61&submit=submit+id"" target=""_blank""> AV 61</a>",00h50m01.8682s,-72d11m26.6093s,61,32,15271,,,,,O6 III((f))e_1_,0.09,13.36,13.54,228,0,3,3,F,,,,,,p,,,STIS/E140M,FUSE,,,1,
2dFS 2553,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=2dFS+2553&submit=submit+id"" target=""_blank""> 2dFS 2553</a>",01h09m21.9525s,-73d15m41.9354s,,,69460,,,,2553,O6.5 III((f))e_2_,0.04,14.87,15.1,,5,0,5,,p,p,p,,,,,,COS/G130M/1096-COS/G130M/1291-COS/G160M/1611,,,,1,
AV 15,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+15&submit=submit+id"" target=""_blank""> AV 15</a>",00h46m42.1609s,-73d24m55.5127s,15,10,7437,,,,,O6.5II(f),0.08,12.93,13.12,95,0,0,0,F,,,,,,a,,,,FUSE-STIS/E140M/1425,VLT/UVES,u,2,
AV 476,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+476&submit=submit+id"" target=""_blank""> AV 476</a>",01h13m42.4532s,-73d17m29.5361s,476,,74608,,,,,O6.5 V,0.18,13.43,13.52,65,0,0,0,F,,po,ooo,ao,,,ao,,,FUSE-COS/G130M/1327-COS/G160M/1577-COS/G160M/1589-COS/G160M/1600-STIS/E230M/1978-STIS/E230M/2269,VLT/UVES,u,2,
NGC346 28,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC+346+ELS+028&submit=submit+id"" target=""_blank""> NGC346 28</a>",00h58m31.7564s,-72d10m57.9848s,,,43668,113,28,,,OC6 Vz,0.02,14.75,15.01,35,4,0,4,,p,,,,,a,,,COS/G130M/1096,STIS/E140M/1425,VLT/GIRAFFE-VLT/UVES,gu,1,
2dFS 3954,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=2dFS+3954&submit=submit+id"" target=""_blank""> 2dFS 3954</a>",01h30m43.108s,-73d25m04.1431s,,,83639,,,,3954,O6 V((f))z,0.02,15.01,15.27,,4,0,4,,p,p,p,,,,,,COS/G130M/1096-COS/G130M/1291-COS/G160M/1611,,VLT/GIRAFFE,g,1,
AV 446,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+446&submit=submit+id"" target=""_blank""> AV 446</a>",01h09m25.4312s,-73d09m29.9259s,446,,69555,,,,,O6.5 V,0.03,14.35,14.59,124,0,0,0,F,,ao,oo,,,,,,,COS/G130M/1291-COS/G130M/1327-COS/G160M/1577-COS/G160M/1623-FUSE,,,2,
AV 243,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+243&submit=submit+id"" target=""_blank""> AV 243</a>",01h00m06.7279s,-72d47m19.1441s,243,84,48019,,,,,O6V,0.11,13.67,13.84,,0,0,0,F,,ao,oo,,,,,,,COS/G130M/1291-COS/G130M/1327-COS/G160M/1577-COS/G160M/1623-FUSE,VLT/UVES,u,2,
AV 83,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+83&submit=submit+id"" target=""_blank""> AV 83</a>",00h50m52.0035s,-72d42m14.9599s,83,,17927,,,,,O7Iaf+,0.15,13.19,13.31,71,0,0,0,F,,,,,,a,,,,FUSE-STIS/E140M/1425,,,2,
AV 232,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+232&submit=submit+id"" target=""_blank""> AV 232</a>",00h59m31.9785s,-72d10m46.128s,232,80,,789,1,,,O7 Iaf+,0.08,12.12,12.31,76,0,0,0,F,,,,,,a,,,,FUSE-STIS/E140M/1425,VLT/GIRAFFE-VLT/UVES,gu,2,
2dFS 2266,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=2dFS+2266&submit=submit+id"" target=""_blank""> 2dFS 2266</a>",01h07m14.2742s,-72d13m47.5316s,,,65577,,,,2266,OC7 II(f),0.02,14.99,15.24,,5,0,5,,p,p,p,,,,,,COS/G130M/1096-COS/G130M/1291-COS/G160M/1611,,,,1,
AV 440,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+440&submit=submit+id"" target=""_blank""> AV 440</a>",01h08m56.0235s,-71d52m46.7135s,440,,68756,,,,,O7.5 III:,0.09,14.3,14.48,62,2,0,2,F,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,FUSE,,,1,
AV 207,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+207&submit=submit+id"" target=""_blank""> AV 207</a>",00h58m33.1918s,-71d55m46.7377s,207,,43724,,,,,O7 III((f)),0.07,14.05,14.25,75,2,0,2,F,,p,p,,,,ao,,COS/G130M/1291-COS/G160M/1611,FUSE-STIS/E230M/1978-STIS?E230M/2269,VLT/UVES,u,1,
AV 80,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+80&submit=submit+id"" target=""_blank""> AV 80</a>",00h50m43.8005s,-72d47m41.4996s,80,,17457,,,,,O7 III,0.14,13.19,13.32,278,0,0,0,F,,,,ao,,a,ao,,,FUSE-STIS/E140M/1425-STIS/E230M/1978-STIS/E230M/2269,VLT/UVES,u,2,
AV 95,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+95&submit=submit+id"" target=""_blank""> AV 95</a>",00h51m21.6025s,-72d44m14.8938s,95,,19650,,,,,O7III((f)),0.09,13.6,13.78,76,0,0,0,F,,,,,,a,a,,,FUSE-STIS/E140M/1425-STIS/E230M/1978-STIS-E230M/2269,VLT/GIRAFFE-VLT/UVES,gu,2,
AV 69,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+69&submit=submit+id"" target=""_blank""> AV 69</a>",00h50m17.2093s,-72d53m30.2794s,69,34,16056,,,,,OC7.5III((f)),0.09,13.09,13.27,94,0,0,0,F,,,,,,a,,,,FUSE-STIS/E140M/1425,VLT/GIRAFFE,g,2,
NGC346 46,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC+346+ELS+046&submit=submit+id"" target=""_blank""> NGC346 46</a>",00h59m31.8701s,-72d13m35.2454s,,,,,46,,,O7 Vn,0,15.16,15.44,340,4,0,4,,p,ao,oo,,,,,,COS/G130M/1096,COS/G130M/1291-COS/G130M/1327-COS/G160M/1577-COS/G160M/1623,VLT/GIRAFFE-VLT/UVES,gu,1,
NGC346 31,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC+346+ELS+031&submit=submit+id"" target=""_blank""> NGC346 31</a>",00h59m54.0639s,-72d04m31.4384s,,,47478,,31,,,O7 V,0.01,14.76,15.02,18,5,0,5,,p,ao,oo,,,,,,COS/G130M/1096,COS/G130M/1291-COS/G130M/1327-COS/G160M/1577-COS/G160M/1623,VLT/GIRAFFE-VLT/UVES,gu,1,
NGC346 51,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC+346+ELS+051&submit=submit+id"" target=""_blank""> NGC346 51</a>",00h59m08.6989s,-72d10m14.1558s,,,45459,523,51,,,O7 Vz,0.01,15.25,15.51,18,4,0,4,,p,ao,oo,,,,,,COS/G130M/1096,COS/G130M/1291-COS/G130M/1327-COS/G160M/1577-COS/G160M/1623,VLT/GIRAFFE-VLT/UVES,gu,1,
AV 251,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+251&submit=submit+id"" target=""_blank""> AV 251</a>",01h00m22.1564s,-72d30m48.752s,251,,48672,,,,,O7.5 V,0.09,14.34,14.52,,4,0,4,,p,p,p,,,,,,COS/G130M/1096-COS/G130M/1291-COS/G160M/1611,,,,1,
2dFS 163,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=2dFS+163&submit=submit+id"" target=""_blank""> 2dFS 163</a>",00h36m58.24s,-73d23m33.1869s,,,,,,,163,O8 Ib(f),0.11,14.95,15.11,,3,0,3,,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,,,,1,
AV 469,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+469&submit=submit+id"" target=""_blank""> AV 469</a>",01h12m29.0121s,-72d29m29.0774s,469,148,73337,,,,,O8.5II((f)),0.11,12.96,13.12,79,0,2,2,F,,,,,,p,,,STIS/E140M,FUSE,VLT/UVES,u,1,
AV 186,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC+330+ELS+013&submit=submit+id"" target=""_blank""> AV 186</a>",00h57m26.9409s,-72d33m13.5792s,186,,40341,,13,,,O8.5 III((f)),0.14,13.87,14,73,4,0,4,,p,p,p,,,,,,COS/G130M/1096-COS/G130M/1291-COS/G160M/1611,,VLT/GIRAFFE,g,1,
SK 187,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+187&submit=submit+id"" target=""_blank""> SK 187</a>",01h30m50.2565s,-73d22m58.9248s,,187,83678,,,,,O8.5 III,0.08,12.99,13.18,,1,3,4,,p,,,,,p,,,COS/G130M/1096-STIS/E140M,,VLT/GIRAFFE,g,1,
AV 47,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+47&submit=submit+id"" target=""_blank""> AV 47</a>",00h48m51.4904s,-73d25m58.5595s,47,,11925,,,,,O8III((f)),0.09,13.26,13.44,79,0,0,0,F,,,,ao,,a,ao,,,FUSE-STIS/E140M/1425-STIS/E230M/1978-E230M/2269,VLT/UVES,u,2,
AV 148,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+148&submit=submit+id"" target=""_blank""> AV 148</a>",00h53m42.2348s,-72d42m35.2992s,148,,27731,,,,,O8.5 V,0.07,13.92,14.12,60,3,0,3,,p,ao,oo,,,,,,COS/G130M/1096,COS/G130M/1291-COS/G130M/1327-COS/G160M/1577-COS/G160M/1623,VLT/GIRAFFE,g,1,
NGC346 50,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC+346+ELS+050&submit=submit+id"" target=""_blank""> NGC346 50</a>",00h58m55.223s,-72d09m06.7151s,,,44811,299,50,,,O8 Vn,0,15.2,15.5,357,4,0,4,,p,ao,oo,,,,,,COS/G130M/1096,COS/G130M/1291-COS/G130M/1327-COS/G160M/1577-COS/G160M/1623,VLT/GIRAFFE,g,1,
AV 255,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV255&submit=submit+id"" target=""_blank""> AV 255</a>",01h00m42.078s,-71d31m12.2723s,255,90,,,,,,O8V,0.08,12.59,12.78,188,0,2,2,F,,,,,,p,,,STIS/E140M,FUSE,,,1,
AV 267,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+267&submit=submit+id"" target=""_blank""> AV 267</a>",01h01m15.6946s,-72d06m35.3888s,267,,50825,,,,,O8 V,0.01,14.58,14.84,220,0,0,0,F,,ao,oo,,,,,,,COS/G130M/1291-COS/G130M/1327-COS/G160M/1577-COS/G160M/1623-FUSE,,,2,
AV 70,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+70&submit=submit+id"" target=""_blank""> AV 70</a>",00h50m18.1252s,-72d38m10.056s,70,35,,,,,,O9.5Iw,0.09,12.21,12.38,62,0,2,2,F,,,,,,p,p,,STIS/E140M-STIS/E230M/1978,FUSE,VLT/UVES,u,1,
AV 372,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+372&submit=submit+id"" target=""_blank""> AV 372</a>",01h04m55.7428s,-72d46m48.1645s,372,116,60577,,,,,O9.5Iabw,0.11,12.44,12.59,98,0,3,3,F,,,,ao,,p,p,,STIS/E140M-STIS/E230M/1978,FUSE,VLT/UVES,u,1,
AV 456,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+456&submit=submit+id"" target=""_blank""> AV 456</a>",01h10m55.7665s,-72d42m56.2769s,456,143,71614,,,,,O9.5 Ib,0.36,12.93,12.83,111,0,0,0,F,,o,ooo,ao,,h,aohh,,,FUSE-COS/G130M/1327-COS/G160M/1577-COS/G160M/1589-COS/G160M/1600-STIS/E230M/1978,VLT/UVES,u,2,
AV 479,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+479&submit=submit+id"" target=""_blank""> AV 479</a>",01h14m50.2646s,-73d20m17.8732s,479,155,,,,,,O9Ib,0.1,12.26,12.42,,0,0,0,F,,a,o,,,,hh,hhh,,COS/G130M/1291-COS/G160M/1623-FUSE,,u,2,
AV 6,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+6&submit=submit+id"" target=""_blank""> AV 6</a>",00h45m18.18s,-73d15m24.7s,6,,5391,,,,5002,O9III,0.31,13.36,13.31,,1,0,1,F,,p,ooo,,,,,,COS/G130M/1291,FUSE-COS/G160M/1577-COS/G160M/1589-COS/G160M/1600,,,1,
AV 307,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+307&submit=submit+id"" target=""_blank""> AV 307</a>",01h02m32.1837s,-72d39m42.5887s,307,,53902,,,,,O9 III,0.1,13.8,13.96,,3,0,3,,p,ao,oo,,,,,,COS/G130M/1096,COS/G130M/1291-COS/G130M/1327-COS/G160M/1577-COS/G160M/1623,,,1,
AV 238,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+238&submit=submit+id"" target=""_blank""> AV 238</a>",00h59m55.5097s,-72d13m37.8008s,238,,47540,,,,,O9.5III,0.09,13.47,13.64,71,0,4,4,F,,,,ao,,p,,,STIS/E140M,FUSE,VLT/GIRAFFE,g,1,
AV 327,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+327&submit=submit+id"" target=""_blank""> AV 327</a>",01h03m10.5504s,-72d02m14.3544s,327,,55537,,,,,O9.5II-Ibw,0.1,12.87,13.03,69,0,0,0,F,,,,ao,,a,,,,FUSE-STIS/E140M/1425,,,2,
AV 423,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+423&submit=submit+id"" target=""_blank""> AV 423</a>",01h07m40.3926s,-72d51m00.082s,423,132,66415,,,,,O9.5II(n),0.09,13.08,13.25,163,0,0,0,F,,,,,,a,,,,FUSE-STIS/E140M/1425,VLT/GIRAFFE,g,2,
2dFS 3780,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=2dFS+3780&submit=submit+id"" target=""_blank""> 2dFS 3780</a>",01h26m35.2892s,-73d15m16.2998s,,,82322,,,,3780,O9.7 IV,0.01,14.12,14.37,,2,4,6,,p,,,,,p,,,COS/G130M/1096-STIS/E140M,,VLT/GIRAFFE,g,1,
AV 468,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+468&submit=submit+id"" target=""_blank""> AV 468</a>",01h12m05.8791s,-72d40m56.6184s,468,,72941,,,,,O9 V,0.02,14.86,15.11,50,3,0,3,,p,ao,oo,,,,,,COS/G130M/1096,COS/G130M/1291-COS/G130M/1327-COS/G160M/1577-COS/G160M/1623,,,1,
