Target,Target_LINK,RA(J2000),DEC(J2000),AV,Sk,M2002,NGC346 MPG,NGC346 ELS,NGC346 W,2dFS,SpT,E(B-V),B,V,v sin i,COS,STIS,ORB,FUSE,COS G130M 1096,COS G130M 1291,COS G160M 1611,COS G185M 1953,COS G185M 1986,STIS E140M 1425,STIS E230M 1978,STIS E230M 2707,Modes To Be Observed,archival UV ,Other AR Modes,VLT,ULL,
NGC346 25,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC+346+ELS+025&submit=submit+id"" target=""_blank""> NGC346 25</a>",00h59m52.9584s,-72d10m49.1578s,,,47430,848,25,,,O9 V,0,14.68,14.95,138,3,0,3,,p,p,p,,,,,,COS/G130M/1096-COS/G130M/1291-COS/G160M/1611,,VLT/GIRAFFE,g,1,
[M2002] SMC 81469,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=[M2002]+SMC+81469&submit=submit+id"" target=""_blank""> [M2002] SMC 81469</a>",01h24m27.9855s,-73d14m14.9563s,,,81469,,,,,O9.7 V,0.06,13.77,13.97,70,3,0,3,,p,p,p,,,,,,COS/G130M/1096-COS/G130M/1291-COS/G160M/1611,,VLT/GIRAFFE,g,1,
AV 235,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+82&submit=submit+id"" target=""_blank""> AV 235</a>",00h59m45.7325s,-72d44m56.4367s,235,82,,,,,,B0Iaw,0.06,12.02,12.2,,0,2,2,F,,,,,,p,p,,STIS/E140M-STIS/E230M/1978,FUSE,VLT/UVES,u,1,
AV 488,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+159&submit=submit+id"" target=""_blank""> AV 488</a>",01h15m58.8816s,-73d21m24.3722s,488,159,,,,,,B0.5Iaw,0.09,11.76,11.89,,0,2,2,F,,,,,,p,p,,STIS/E140M-STIS/E230M/1978,FUSE,VLT/UVES,u,1,
AV 242,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+242&submit=submit+id"" target=""_blank""> AV 242</a>",01h00m06.8861s,-72d13m57.3916s,242,85,,,,,,B0.7Iaw,0.06,11.98,12.11,,0,0,0,F,,,,,,a,ao,,,FUSE-STIS/E140M/1425-STIS/E230M/1978-STIS/E230M/2269,VLT/UVES,u,2,
AV 215,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+215&submit=submit+id"" target=""_blank""> AV 215</a>",00h58m55.6281s,-72d32m08.4884s,215,76,44828,,,,,B0 (Ib),0.15,12.6,12.69,,0,0,0,F,,,,,,a,a,,,FUSE-STIS/E140M/1425-STIS/E230M/1978,VLT/UVES,u,2,
AV 104,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+104&submit=submit+id"" target=""_blank""> AV 104</a>",00h51m38.4305s,-72d48m06.1008s,104,,20656,,,,,B0.5Ia,0.06,13.01,13.17,,0,0,0,F,,,,,,a,a,,,FUSE-STIS/E140M/1425-STIS/E230M/1978,,,2,
AV 506,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+506&submit=submit+id"" target=""_blank""> AV 506</a>",01h22m11.2229s,-73d26m51.9s,506,169,80545,,,,,B0.5 II,0.11,13.36,13.53,,0,3,3,F,,,,,,p,,,STIS/E140M,FUSE,,,1,
SK 173,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=2dFS+3747&submit=submit+id"" target=""_blank""> SK 173</a>",01h25m38.226s,-73d07m39.3531s,,173,81955,,,,3747,B0.7 (II)e,0.07,13.4,13.57,,2,0,2,,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,,VLT/GIRAFFE,g,1,
AV 410,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+410&submit=submit+id"" target=""_blank""> AV 410</a>",01h06m45.0941s,-72d03m24.6619s,410,,64588,,,,,B0 III,0.15,13.06,13.21,,2,4,6,,p,,,,,p,,,COS/G130M/1096-STIS/E140M,,,,1,
AV 321,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+321&submit=submit+id"" target=""_blank""> AV 321</a>",01h02m57.0844s,-72d08m09.133s,321,,54958,,,,,B0 IIIWW,0.11,13.57,13.76,,0,0,0,F,,,,,,a,ao,,,FUSE-STIS/E140M/1425-STIS/E230M/1978-STIS/E230M/2269,VLT/GIRAFFE-VLT/UVES,gu,2,
NGC346 26,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=CL*+NGC+346+ELS+26&submit=submit+id"" target=""_blank""> NGC346 26</a>",00h58m14.2404s,-72d10m45.0336s,,,42719,12,26,,,B0 IV (Nstr),0.16,14.84,14.98,70,0,0,0,F,,,,,,a,,,,FUSE-STIS/E140M/1425,VLT/GIRAFFE-VLT/UVES,gu,2,
AV 189,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+189&submit=submit+id"" target=""_blank""> AV 189</a>",00h57m32.5168s,-72d28m51.1535s,189,,40610,,,,,B0 (IV),0.19,14.26,14.37,,0,0,0,,,ao,oo,,,,,,,COS/G130M/1291-COS/G130M/1327-COS/G160M/1577-COS/G160M/1623,,,2,
AV 326,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+326&submit=submit+id"" target=""_blank""> AV 326</a>",01h03m09.26s,-72d25m56.5s,326,,55490,,,,,B0 (IV),0.18,13.8,13.92,,0,0,0,,,ao,oo,,,,,,,COS/G130M/1291-COS/G130M/1327-COS/G160M/1577-COS/G160M/1623,,,2,
AV 16,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+16&submit=submit+id"" target=""_blank""> AV 16</a>",00h46m55.0323s,-73d08m34.1577s,16,11,7753,,,,,B0[e]LBV,0.42,13.15,13.03,,0,0,0,F,,,,,,a,,,,FUSE-STIS/E140M/1425,VLT/GIRAFFE,g,2,
AV 43,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+43&submit=submit+id"" target=""_blank""> AV 43</a>",00h48m47.9003s,-72d46m24.9112s,43,,11777,,,,,B0.2 V,0.18,13.76,13.88,,0,0,0,,,ao,oo,,,,,,,COS/G130M/1291-COS/G130M/1327-COS/G160M/1577-COS/G160M/1623,,,2,
AV 304,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+304&submit=submit+id"" target=""_blank""> AV 304</a>",01h02m21.4846s,-72d39m14.6057s,304,,53474,,,,,B0.5V,0.08,14.78,14.98,,0,0,0,F,,ao,oo,ooo,ooooo,,,,,FUSE-COS/G130M/1291-COS/G130M/1327-COS/G160M/1577-COS/G160M/1623,VLT/UVES,u,2,
NGC346 43,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=CL*+NGC+346+ELS+43&submit=submit+id"" target=""_blank""> NGC346 43</a>",00h58m13.9531s,-72d09m19.1244s,,,42709,11,43,,,B0V,0.07,15.13,15.36,,0,0,0,F,,ao,oo,ooo,ooo,,,,,COS/G130M/1291-COS/G130M/1327-COS/G160M/1577-COS/G160M/1623-FUSE,VLT/GIRAFFE-VLT/UVES,gu,2,
AV 96,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+96&submit=submit+id"" target=""_blank""> AV 96</a>",00h51m23.1496s,-72d07m20.9369s,96,46,19728,,,,,B1 I,0.09,12.49,12.59,70,0,5,5,F,,,,,,p,p,,STIS/E140M-STIS/E230M/1978,FUSE,,,1,
AV 266,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+266&submit=submit+id"" target=""_blank""> AV 266</a>",01h01m09.3946s,-72d27m28.5636s,266,95,50609,,,,,B1 I,0.07,12.43,12.55,61,0,4,4,F,,,,,,p,p,,STIS/E140M-STIS/E230M/1978,FUSE,,,1,
AV 264,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+264&submit=submit+id"" target=""_blank""> AV 264</a>",01h01m07.7661s,-71d59m58.8035s,264,94,,,,,,B1Ia,0.04,12.21,12.36,216,0,3,3,F,,,,,,p,p,,STIS/E140M-STIS/E230M/1978,FUSE,,,1,
AV 210,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+210&submit=submit+id"" target=""_blank""> AV 210</a>",00h58m35.7868s,-72d16m25.0378s,210,73,43844,,,,,B1.5Ia,0.16,12.58,12.6,43,0,0,0,F,,,,,,a,a,,,FUSE-STIS/E140M/1425-STIS/E230M/1978,VLT/GIRAFFE-VLT/UVES,gu,2,
SK 191,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+191&submit=submit+id"" target=""_blank""> SK 191</a>",01h41m42.0729s,-73d50m38.2083s,,191,,,,,,B1.5Ia,0.14,11.82,11.86,,0,0,0,F,,ao,oo,,,a,a,,,COS/G130M/1291-COS/G130M/1309-COS/G160M/1600-COS/G160M/1623-FUSE-STIS/E140M/1425-STIS/E230M/1978,VLT/UVES,u,2,
AV 175,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+175&submit=submit+id"" target=""_blank""> AV 175</a>",00h56m38.08s,-72d36m35.2987s,175,64,37732,,,,,B1 IIW,0.16,13.45,13.53,51,3,0,3,F,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,FUSE,VLT/GIRAFFE,g,1,
AV 85,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+85&submit=submit+id"" target=""_blank""> AV 85</a>",00h51m00.1198s,-72d53m04.1136s,85,,18373,,,,,B1II-IIIe,0.23,13.55,13.56,,0,5,5,F,,,,,,p,,,STIS/E140M,FUSE,VLT/GIRAFFE,g,1,
AV 472,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+472&submit=submit+id"" target=""_blank""> AV 472</a>",01h13m01.8784s,-72d45m48.461s,472,150,73952,,,,2907,B1.5 II,0.11,12.51,12.62,,1,0,1,F,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,FUSE,,,1,
AV 224,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+224&submit=submit+id"" target=""_blank""> AV 224</a>",00h59m16.0416s,-72d04m44.5311s,224,,45809,,,,,B1 III,0.11,13.97,14.12,299,3,0,3,,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,,VLT/GIRAFFE,g,1,
2dFS 3694,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=2dFS+3694&submit=submit+id"" target=""_blank""> 2dFS 3694</a>",01h24m34.4492s,-73d09m08.9062s,,,81522,,,,3694,B1 IV,0.07,13.73,13.92,120,2,0,2,,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,,VLT/GIRAFFE,g,1,
2dFS 3947,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=2dFS+3947&submit=submit+id"" target=""_blank""> 2dFS 3947</a>",01h30m37.1859s,-73d25m14.3915s,,,83611,,,,3947,B1.5 IV,0.02,14.76,14.99,140,2,0,2,,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,,VLT/GIRAFFE,g,1,
2dFS 3689,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=2dFS+3689&submit=submit+id"" target=""_blank""> 2dFS 3689</a>",01h24m31.7437s,-73d21m49.2667s,,,81502,,,,3689,B1.5 V,0.11,15.11,15.25,250,3,0,3,,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,,VLT/GIRAFFE,g,1,
NGC346 35,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC+346+ELS+035&submit=submit+id"" target=""_blank""> NGC346 35</a>",00h59m46.6496s,-72d05m32.5252s,,,47161,,,,,B1 V,0.03,14.86,15.09,145,2,0,2,,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,,VLT/GIRAFFE,g,1,
AV 393,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+124&submit=submit+id"" target=""_blank""> AV 393</a>",01h05m56.3225s,-72d19m44.7804s,393,124,,,,,,B2 Ia,0.14,11.45,11.48,,1,1,2,F,,p,p,,,,p,,COS/G130M/1291-COS/G160M/1611-STIS/E230M/1978,FUSE,,,1,
AV 261,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+261&submit=submit+id"" target=""_blank""> AV 261</a>",01h00m58.7221s,-72d30m50.2554s,261,,50178,,,,1527,B2 (Ib)e,0.09,13.81,13.88,87,0,8,8,F,,ao,oo,,,,p,,STIS/E230M/1978,COS/G130M/1291-COS/G130M/1327-COS/G160M/1577-COS/G160M/1623-FUSE,,,1,
AV 374,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+374&submit=submit+id"" target=""_blank""> AV 374</a>",01h05m01.866s,-72d26m53.8053s,374,,60859,,,,,B2Ib,0.02,12.96,13.1,73|47,2,0,2,F,,p,p,p,p,,,,COS/G130M/1291-COS/G160M/1611-COS/G185M/1953-COS/G185M/1986,FUSE,,,1,
AV 18,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+18&submit=submit+id"" target=""_blank""> AV 18</a>",00h47m12.2191s,-73d06m33.1322s,18,13,,,,,,B2 Ia,0.2,12.47,12.44,,0,0,0,F,,aooo,ooo,o,o,ah,aohh,,,FUSE-STIS/E140M/1425-STIS/E230M/1978-STIS/E230M/2269,,,2,
AV 490,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+490&submit=submit+id"" target=""_blank""> AV 490</a>",01h17m05.1494s,-73d26m36.0357s,490,160,77458,,,,3235,B2 I,0.02,13,13.15,,0,0,0,F,,,,,,a,,,,FUSE-STIS/E140M/1425,VLT/UVES,u,2,
NGC330 4,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=CL*+NGC+330+ELS+4&submit=submit+id"" target=""_blank""> NGC330 4</a>",00h56m20.808s,-72d28m34.1547s,,,36740, ,4,,5090,B2.5 Ib,0.08,13.26,13.33,,0,0,0,,,aoooo,aoooo,many,ao,a,a,,,COS/G130M/1291-COS/G130M/1300-COS/G130M/1309-COS/G130M/1318-COS/G130M/1327-COS/G160M/1577-COS/G160M/1589-COS/G160M/1600-COS/G160M/1611-COS/G160M/1623-STIS/E140M/1425-STIS/E230M/1978,VLT/GIRAFFE,g,2,
AV 234,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+234&submit=submit+id"" target=""_blank""> AV 234</a>",00h59m43.5091s,-72d04m18.8605s,234,81,47028,,,,,B3Iab,0.03,12.84,12.94,,2,5,7,,,p,p,,,,p,,COS/G130M/1291-COS/G160M/1611-STIS/E230M/1978,,VLT/GIRAFFE,g,1,
AV 187,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+187&submit=submit+id"" target=""_blank""> AV 187</a>",00h57m31.7329s,-71d19m59.2888s,187,68,,,,,,B3Ia,0.03,11.96,12.06,,1,2,3,F,,p,p,,,,p,,COS/G130M/1291-COS/G160M/1611-STIS/E230M/1978,FUSE,,,1,
NGC330 2,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=CL*+NGC+330+ELS+2&submit=submit+id"" target=""_blank""> NGC330 2</a>",00h56m24.8655s,-72d27m41.9504s,,,36994,,2,,,B3 Ib,0.09,12.99,13.03,< 24,0,0,0,,,,,,,a,a,,,STIS/E140M/1425-STIS/E230M/1978,VLT/GIRAFFE,g,2,
AV 362,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+362&submit=submit+id"" target=""_blank""> AV 362</a>",01h04m49.3519s,-72d06m21.7644s,362,114,,,,,,B3Ia,0.11,11.34,11.36,,0,0,0,F,,,,,,a,a,,,FUSE-STIS/E140M/1425-STIS/E230M/1978,VLT/UVES,u,2,
AV 324,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+324&submit=submit+id"" target=""_blank""> AV 324</a>",01h03m03.2269s,-72d11m15.8722s,324,,55226,,,,,B4Iab,0.08,12.79,12.84,,4,1,5,,,p,p,p,p,,,p,COS/G130M/1291-COS/G160M/1611-COS/G185M/1953-COS/G185M/1986-STIS/E230M/2707,,VLT/GIRAFFE,g,1,
AV 314,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+314&submit=submit+id"" target=""_blank""> AV 314</a>",01h02m48.5034s,-72d16m45.4061s,314,,54568,,,,,B5Iab,0,12.77,12.87,,3,1,4,,,p,p,p,p,,,p,COS/G130M/1291-COS/G160M/1611-COS/G185M/1953-COS/G185M/1986-STIS/E230M/2707,,,,1,
AV 445,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+445&submit=submit+id"" target=""_blank""> AV 445</a>",01h09m15.8186s,-72d25m14.1472s,445,138,69280,,,,2538,B5 (Iab),0.03,12.65,12.71,,3,1,4,,,p,p,p,p,,,p,COS/G130M/1291-COS/G160M/1611-COS/G185M/1953-COS/G185M/1986-STIS/E230M/2707,,,,1,
AV 22,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+22&submit=submit+id"" target=""_blank""> AV 22</a>",00h47m38.7433s,-73d07m48.8708s,22,,,,,,5015,B5 (Ia),0.07,12.21,12.23,,0,0,0,F,,,,,,a,a,,,FUSE-STIS/E140M/1425-STIS/E230M/1978,,,2,
AV 343,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+343&submit=submit+id"" target=""_blank""> AV 343</a>",01h03m56.2007s,-72d42m06.2834s,343,111,57851,,,,,B6Iab,0.02,13,13.05,,4,1,5,,,p,p,p,p,,,p,COS/G130M/1291-COS/G160M/1611-COS/G185M/1953-COS/G185M/1986-STIS/E230M/2707,,VLT/GIRAFFE,g,1,
SK 179,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+179&submit=submit+id"" target=""_blank""> SK 179</a>",01h28m27.9861s,-72d46m55.5789s,,179,82928,,,,,B6 I,0,12.96,13.06,,4,1,5,,,p,p,p,p,,,p,COS/G130M/1291-COS/G160M/1611-COS/G185M/1953-COS/G185M/1986-STIS/E230M/2707,,,,1,
AV 200,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+200&submit=submit+id"" target=""_blank""> AV 200</a>",00h58m07.908s,-72d38m30.5083s,200,69,,,,,,B8Ia,0.08,12.24,12.17,,6,1,7,,,p,p,p,p,,,p,COS/G130M/1291-COS/G160M/1611-COS/G185M/1953-COS/G185M/1986-STIS/E230M/2707,,,,1,
AV 39a,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+39a&submit=submit+id"" target=""_blank""> AV 39a</a>",00h48m30.8471s,-73d15m45.8494s,39a,,11046,,,,,WN5ha,0.1,,14.23,,2,0,2,F,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,FUSE,VLT/UVES,u,1,
AV 81,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+41&submit=submit+id"" target=""_blank""> AV 81</a>",00h50m43.433s,-73d27m05.7276s,81,41,17438,,,,,WN6h,0.09,,13.35,,1,0,1,F,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,FUSE,VLT/UVES,u,1,
2dFS 999,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SMC+AB+9&submit=submit+id"" target=""_blank""> 2dFS 999</a>",00h54m32.1581s,-72d44m35.6388s,,,30420,,,,999,WN3ha,0.09,,15.23,,2,0,2,F,,p,p,,,,,,COS/G130M/1291-COS/G160M/1611,FUSE,,,1,
AV 229,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=HD+5980&submit=submit+id"" target=""_blank""> AV 229</a>",00h59m26.5869s,-72d09m53.9481s,229,78,,,,,,WN4+WN+O,,,11.08,,0,0,0,F,,,,,,a,a,,,FUSE-STIS/E140M/1425-STIS/E230M/1978,VLT/UVES,u,2,
AV 332,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=SK+108&submit=submit+id"" target=""_blank""> AV 332</a>",01h03m25.2309s,-72d06m43.8761s,332,108,,,,,,WN4+O6.5I:,0.1,12.11,12.3,265,0,1,1,F,,,,,,p,,,STIS/E140M,FUSE,,,1,
NGC346 13,"<a href=""https://simbad.u-strasbg.fr/simbad/sim-id?Ident=Cl*+NGC+346+ELS+013&submit=submit+id"" target=""_blank""> NGC346 13</a>",00h59m30.37s,-72d09m09.7s,,,46456,782,13,,,O9V+B1V,0.09,14.19,14.35,320,6,0,6,,p,p,p,,,,,,COS/G130M/1096-COS/G130M/1291-COS/G160M/1611,,,,,1
,,,,,,,,,,,,,,,,140,82,220,,,,,,,,,,,,,,,